comentario,puntuacion_estimada,puntuacion_real,confianza,categoria
cuál es el más cercado para rayar el nombre de mi rukaleta,5,3.0,0.2481597661972046,infraestructura
esos baños deberian estar en el metro no saben la falta que hacen,1,2.0,0.36313536763191223,infraestructura
no pues bueno me da risa,2,3.0,0.4376702308654785,infraestructura
los van a abandonar,1,2.0,0.5663031339645386,infraestructura
nada los tiene contentos,1,4.0,0.4218960106372833,infraestructura
se ve como 1520 no se de que te quejas,3,4.0,0.28564316034317017,infraestructura
no maaaa,1,2.0,0.4860941171646118,infraestructura
y que volteas hacia arriba,1,3.0,0.40210476517677307,infraestructura
me da risa exacto hay un montón de fugas porque no arreglaron eso mejor nada más lo pintaron,1,2.0,0.4969426095485687,infraestructura
que pensaban la lamparita costó bastantes millones de pesos no alcanzo para arreglar bien el anden,2,2.0,0.48852190375328064,infraestructura
eso lo dejamos para otro mundial,1,3.0,0.3522980213165283,infraestructura
les digo que hay goteras en pino suárez llueve más dentro que fuera del metro,1,2.0,0.3442012369632721,infraestructura
me da risa gobierno tan p,1,1.0,0.4275832176208496,infraestructura
8 años,5,3.0,0.4531795382499695,infraestructura
solo en méxico,1,3.0,0.2987946569919586,infraestructura
me da risa y cobraron como si fuera una restauración completa,5,2.0,0.2802048921585083,infraestructura
me gozo como se disen de todo en los comentarios,5,3.0,0.4582958519458771,infraestructura
y los baches,5,2.0,0.32263240218162537,infraestructura
y donde que yo me echo unas bien apestosotas ajajaja,1,2.0,0.2266816347837448,infraestructura
nuevas paredes mismaa goteras,1,2.0,0.26887038350105286,infraestructura
que triste nada acertada esa decisión de poner candelabros que no sirven para nada,1,2.0,0.8599734902381897,infraestructura
es como feria de pueblo pero en el metro,3,2.0,0.38051390647888184,infraestructura
en chabacano ya se puede transbordar a consti,4,3.0,0.2339267134666443,infraestructura
son las bajadas de las cascadas que pondran dentro del metro,2,2.0,0.3847491145133972,infraestructura
si se mete el agua ya va a parecer otra escena de una película donde se mete el agua,1,2.0,0.3875410556793213,infraestructura
pero que tal los baños de los metrobuses ya los cobran que tonteria,2,1.0,0.3479592204093933,infraestructura
baños con ajolotes,4,4.0,0.2987173795700073,infraestructura
y,5,3.0,0.33103927969932556,infraestructura
puro cruising va haber,5,3.0,0.4358462989330292,infraestructura
mejor arreglen las cosas,5,2.0,0.4765704274177551,infraestructura
no entiendo por qué querer aparentar algo que no tenemos ni somos era mil veces mejor darle mantenimiento funcional y que los turistas y obvio los que realmente usan este transporte a diario tuvieran un buen servicio,2,1.0,0.32289019227027893,infraestructura
la verdad si estoy de acuerdo en lugar de gastar en pendejadas como ha sido este gobierno hubieran arreglado las estaciones dejen que llueva y todo lo que hicieron va ir a la basura y se quejan de gobiernos anteriores,1,1.0,0.598546028137207,infraestructura
con la tarjeta de movilidad integrada,5,4.0,0.45557108521461487,infraestructura
pero se ve bonito recuerda que es el gobierno de la maqueta bonita,3,4.0,0.5008151531219482,infraestructura
fue remodelacion no reconstrucción eso seria casi imposible porque por arriba ya hay casas,1,4.0,0.5314095616340637,infraestructura
eso es un gasto innecesario termino aran cerrados y con basura,1,2.0,0.82906574010849,infraestructura
y quién los vendió andy,5,3.0,0.2923722267150879,infraestructura
para tapar los baches,4,2.0,0.424722820520401,infraestructura
las líneas del metro necesitan mantenimientoooooo,3,3.0,0.33067208528518677,infraestructura
y habrá que ver cuántos miles de pesos costaron y a quien de sus compas favorecieron,5,2.0,0.28397753834724426,infraestructura
y al metro lo están remodelando solo por el mundial así deberían de hacer siempre no solo por el mundial,1,3.0,0.3355374336242676,infraestructura
iiii tu casa a de estar impecable muy observadora,5,3.0,0.6073059439659119,infraestructura
primero,5,3.0,0.2769973874092102,infraestructura
y los baches en el centro histórico pa cuándo,5,2.0,0.25944674015045166,infraestructura
llego la locomotora 5972,1,3.0,0.3203601837158203,infraestructura
me da risa,3,3.0,0.23887060582637787,infraestructura
sanitarios del bienestar,4,3.0,0.3962322771549225,infraestructura
esas goteras tienen mi edad 35 años,1,2.0,0.3122221827507019,infraestructura
el peor gobierno de la historia de méxico,1,1.0,0.8898240327835083,infraestructura
