,comentario,rango_humano
0,la mayoría de los que saben que fue lo que pasó son parientes amigos y familiares,3.0
1,así deberían de poner seguridad en los hospitales para que no abusen de sus médicos,2.0
2,interactuando,3.0
3,digaselo a peña nieto ascarraga y salinas pliego ellos son los que trajeron el mundial y aceptaron las condiciones de la fifa,3.0
4,se quejan y somos uno de los países que más consume este deporte,4.0
5,me están diciendo que la única razón por la que están haciendo algo en el país es por el mundial que si no fuera por eso seguiriam defendiendo al co que raro no no es el pais que morena nos plantea,3.0
6,que coraje e impotencia debería ser más importante el apoyo a los padres que buscan a sus hijos que el mundial,2.0
7,la neta méxico da miedo es como ir a palestina y esperar que salgas bien,1.0
8,a mí me vale el mundial hay cosas más importantes,2.0
9,que tristeza que para proteger a extranjeros se organizaron tan rápido y para nosotros lo mexicanos llevan tantos sexenios y nomás no,2.0
10,y los que faltan en el mundial,1.0
11,casi 100 000 elementos federales y este gobierno hace nada para acabar con el crimen organizado todo el poder del estado y para que solo les interesa seguir saqueando al país,1.0
12,pues el plan kukulkán ya se debería quedar 365 días no diiiigo,3.0
13,aah mira y al pueblo que se lo lleve la fregada,3.0
14,deberíamos empezar a comentar con stickers de las fichas de lo desaparecidos en las páginas del gobierno,2.0
15,y no le da vergüenza a la presidenta para eso si hay seguridad,3.0
16,exacto hay que tener prioridades hay que comenzar actuar con conciencia,2.0
17,los carteles andas más armados que la policía de méxico,3.0
18,es muy cierto,3.0
19,y no nada más por el mundial ala precidente le vale los desaparecidos prefiere aser conciertos que ayudar ala gente,1.0
20,interactuen que se difunda lo que si importa,3.0
21,irán atacará en pleno mundial acuérdense de este comentario,2.0
22,jajajjaja se parecen a los anillos de seguridad que hacen los narcos raro no me da risa,2.0
23,aquí apoyamos a los papás y mamás buscadores,2.0
24,hay prioridades wue en el mundial viene el bicho,5.0
25,y por que un mes antes y un mes después del mundial por que no hacen ese plan para siempre,3.0
26,nunca nos ha brindado protección a los mexicanos porque a turistas si,2.0
27,que dolor que impotencia es una burla el despilfarro,1.0
28,no queremos mundial queremos seguridad acceso a la educación digna salud digna y a la justicia,1.0
29,y en culiacán también tendremos ese plan,3.0
30,plan no ir a méxico me gusta,1.0
31,si a usa no le quitan el mundial tampoco a mexico,3.0
32,me duele tener que vivir en esta realidad,1.0
33,que impotencia da la situación de mexico me entristece,1.0
34,violencia en méxico y eua en guerra me da risa,1.0
35,que tiene que ver el mundial von el gobierno,3.0
36,duele pero no por eso va a dejar a mas de 30 selecciones sin mundial ya que eso son problemas internos de mexico no es culpa de la fifa ni mucho menos de las otras selecciones,4.0
37,pero que nombrecito me da risa,3.0
38,y si se queda el plan cuculcan para siempre,3.0
39,ojo dijo que protege a extranjeros los que vivimos en el país pues no la pelamos que nos cuidemos nosotros solos dicen,3.0
40,osea si se pueden poner las pilas pero no con nosotros,2.0
41,seguridad para extranjeros y no para los mexicanos me da risa,2.0
42,saludos desde mechico,3.0
43,me da risa los estadios son privados el único beneficio de nosotros son las ventas me da risa,4.0
44,suena como el kukuxklan,3.0
45,que todos sus hijos vuelvan a casa,3.0
46,yo siendo mexicano prefiero que no sea el mundial aquí en méxico,2.0
47,,3.0
48,cierren las avenidas allá y en cdm,2.0
49,morena preocupándose por otra gente menos por los mexicanos,1.0
50,por algo dice el dicho al pueblo pan y circo para mantenernos distraidosssss ojalá despierten la gente embobada del futboll y demás,2.0
51,ya no podemos seguir con esto necesitamos justicia,1.0
52,y mientras protegen a los turistas en todos los demás estados vamos a estar desprotegidos,2.0
53,a quien le importa el pinche mundial al final solo se benefician los ricos,1.0
54,no estamos en contra del mundial estamos en contra de que se le dé prioridad a algo que no lo es,3.0
55,osea los mexicanos no tenemos ningún valor para este gobierno solo pueden y quieren proteger a extranjeros,1.0
56,el mundial debería ser solo en canadá pero la fifa es corrupta,2.0
57,y por qué protegen tanto a los extranjeros y nunca a nosotros los del pueblo que somos los que pagamos impuestos,2.0
58,en serio que cancelen el mundial aquí,1.0
59,en argentina también está pasando muchas gente con hambre sin trabajo jubilados con jubilaciones mínimas que ni si quiera les alcanza para comprarse la medicación universidades des financiada ecosistema destruidos a propósito medios de comunicación corruptos fiscales y gobernadores que tapan la corrupción y muerte de gente inocente pero la gente se preocupa por un mundial y que messi juegue en la selección ignorando todo los demás,2.0
60,q va mexico es una sentencia ir,1.0
61,y solo durante el mundial terminando todo regresará a como estaba o peor,2.0
63,wey méxico con aviones f5 ya esos son de museo,3.0
64,que triste que solo lo hacen por este evento y no lo hagan por sus habitantes todos los dias me entristece mucho,2.0
65,que todo el mundo vea lo que vivimos en méxico,3.0
66,y si mejor sacan un plan para proteger a méxico siempre y no solo durante el mundial,3.0
67,si asen eso para un evento deportivo por que no aserlo siempre para seguridad de todos nosotros los mexicanos,3.0
68,pongan subtitulos en inglés para que se haga eco a nivel internacional por favor,3.0
69,es una vergüenza nuestro gobierno,1.0
70,por qué no hacen eso siempre yo desde los 15 años salgo de mi casa con más miedo de la policía que de los delincuentes,1.0
71,que fuerte realidad me entristece,2.0
72,ocultan la verdad,2.0
73,oraleee así deberían de proteger a su pueblo y no solo a los extranjeros,2.0
74,lo más triste del asunto es que por más que luchen para que no haya mundial el gobierno no les va hacer caso van a seguir con el mundial y seguir invirtiendo en el mundial es triste y da rabia,1.0
75,el mundial dará mucho empleo y dinero del turismo así que yo sí estoy de acuerdo con el mundial,5.0
76,por qué si tienen tanto no combaten a los narcos,3.0
77,prefiero seguridad que un stupido mundial de futbol,1.0
78,dios mío,3.0
79,para los 4 partidos del mundial que va haber como que invirtieron de más no,3.0
80,ya no pongan sus fotos ahorita pongalas antes del mundial,3.0
81,justicia mexicanos,3.0
82,prefiero no tener mundial,1.0
83,la mediocridad del gobierno y la borregada no da pa más en fin la justicia no existe ni existirá mientras no se reformen las leyes a favor de las víctimas,1.0
84,cómo apoyo para que se haga eso en la cdmx también,4.0
85,es más seguro ir a jugar a israel o iran que a méxico me da risa mucho,3.0
86,cuándo va a cambiar la historia,3.0
