,text
0,"Y si mejor arreglan los hospitales? Ponen mas camas por que nunca hay, dan medicamentos e insumos?"
1,Mejor que pongan botes de basura por todo reforma
2,Sin mantenimiento estarán en cuanto acabe el mundial
3,Dinero desperdiciado
4,y los medicamentos en insumos en los hospitales para cuando?
5,"esos baños deberian estar en el metro, no saben la falta que hacen"
6,para que después huela horrible
7,Baños? yo veo hoteles
8,"Lástima que una vez que se acabe el mundial, ni mantenimiento tendrán"
9,Nmmn arreglen el sistema de drenaje q se tapa bien feo xd
10,Antes de que arranque el mundial ya no sirven
11,Solo por el mundial
12,me avisan como quedan después del mundial
13,Es un gasto innecesario para la capital ....apuesto que pasa el mundial y los van a cerrar... y jamás van a estar en funcionamiento...!!!
14,"Recuerden mis palabras: ""Después del mundial, no van a funcionar regularmente""."
15,Mejor q arreglen los elevadores y las escaleras Eléctricas del metro y metrobus
16,"[Sticker] como dice la señora , solo va a ser por el mundial , después hasta van a cobrar"
17,"Baños que estarán cerrados después del mundial, y en un año estarán inutilizables"
18,Están construyendo baños para el mundial pero no arreglan los baches o las fugas de agua de hay en la cuidad
19,que pena da que su preoridad sea poner sanitarios que insumos y medicamentos en los hospitales
20,Y si ponen más seguridad ?
21,"Los hubieran puesto 1 dia antes, la gente no cuida nada, a ver como quedan después"
22,todo nos molesta... pero pues a las personas que circulan por ahí pues van a favorecer... y lo del mantenimiento no se necesitaría si uno como persona lo ocupa de forma correcta esto no es culpa del gobierno
23,están buenos para el cruising
24,Porque no ponen botes de basura en toda la ciudad y arreglen todos los el pavimento y tuberías de agua
25,y si mejor lo cancelan ?
26,Como los baños de la línea 12 que están clausurados?
27,solo es para el mundial ya después o los quitan o ya no sirven
28,nada les parece los baños públicos son útiles en todos lados A mí me ha pasado que tengo la urgencia de hacer mis necesidades como todo el mundo y no hay ni dónde ya ahí anda uno buscando una gasolinera o algún lugar en donde se pueda hacer sus necesidades y no hay ninguno
29,Ni un año les doy
30,[Sticker] En eso gastan los impuestos ?
31,El peor gobierno de la historia de México
32,"Si los gobiernos realmente hicieran buen uso de nuestros impuestos, este sería un metro digno para el mundial y no esas ridículeses."
33,"Está bien ambientado, en los 1800 quien tenía buen drenaje ?"
34,"No entiendo por qué, querer aparentar algo que no tenemos ni somos, era mil veces mejor darle mantenimiento funcional y que los turistas y obvio los que realmente usan este transporte a diario tuvieran un buen servicio"
35,mañana lo pintan de morado
36,"Exacto, el peor gobierno que he vivido."
37,"que buena observación, entonces que cierre el metro el tiempo necesario para que arreglen todo y los usuarios empiecen a pagar sus taxis"
38,"Jajaja Dios quiera que llueva en los partidos del mundial, para que mundo se dé cuenta de lo que vivimos diario entre tráfico, inundaciones y goteras"
39,Cuantos millones costarían esos candelabros de temu?
40,"ningún chile les embona , que si está en reparación que si esto que si el otro que por qué mejor no lo cierran que por qué lo cierran , sabes realmente que el metro jamás puede parar su servicio ya que es el trasporte de millones de personas y el darle un mantenimiento muy profundo requiere de mucho tiempo ahora el metro está fuera de servicio desde las 0:00 hasta las 05:00 am en 5 horas diarias es imposible dar mtt muy profundo"
41,por 5 pesos que esperas que te den una botella de agua y un aperitivo
42,Esos candelabros son para que nos teletransportemos como en Harry Potter.
43,"en un vídeo anterior decían que nada nos embona...y no es eso,es el hecho de que hay cosas que son necesarias y no son atendidas!!! Es querer aparentar algo que no"
44,"TANTO DINERO QUE DEJA EL METRO A DIARIO y NADA DE MANTEMIENTO, VAMOS BIEN!!!"
45,la neta si da vergüenza
46,Si investigaras por que pasa eso y por que es casi imposible eliminar las goteras de los metros y digo metros por que pasa en todo el mundo
47,jajaja eso también lo invento tv azteca jajaja
48,"Yo no entiendo ¿por qué subes esto? es obvio que lo van a arreglar, ni modo que se quede así..."
49,Todo ese gasto debería haber servido para darle mantenimiento a las vías férreas del metro
50,Son las bajadas de las cascadas que pondran dentro del metro
51,"no hay prioridades, solo maquillando para que se vea bonito pero de fondo o no sirve o se está cayendo, ejemplo mega farmacia, tren Maya, aeropuerto y podemos seguirle"
52,solamente arreglan por encimita cuando toda la estructura ya está a punto de colapsar
53,[Sticker] yo ayer en la estación hidalgo esperando el metro viendo como goteaba el techo
54,los candelabros...de la época de Porfirio Díaz
55,"Tanta deficiencia en el servicio de transporte que creo que los mismos usuarios están concientes ya que se debe aplicar el costo real al ""boleto"""
56,yo creo que si pintan de morado las goteras se soluciona
57,[Sticker] Nada les embona
58,nada les embona
59,Esas filtraciones es por el trafico diario de la ciudad lo único que hicieron fue remodelarlos acabados TU narrativa fuera de contexto
60,"En Europa ya hay de esos, si, se pudo ocupar en otros factores, pero a la larga si lo podremos aprovechar, en paris y Berlín hay y se limpian solos, creo que sencillamente no sabemos cómo sirven, pero si ayudan, y no, no son gratuitos"
61,se están gastando más dinero por hacerlo a las prisas que si bien hubieran empezado hace 8 años y hubieran hecho mejor trabajo
62,"tienen que aceptar que el problema no es solo el gobierno, también la gente, si el metro lo hubieran arreglado antes ya estaría todo pintado y maltratado"
63,"al intentar dar una buena impresión , van hacer completamente lo contrario."
64,Y ese backroom
65,los partidos de fútbol del mundial se van a jugar en los estadios no en el metro
66,lo peor cuando pase el mundial lo van a dejar así :/ los creo muy capaces
67,si se hubiera remodelado hace un par de años ya lo hubieran destruido
68,salgo del metro puebla y no esta puebla dia 8 pidiendo este
69,[Sticker] si no van a estar a tiempo ya de mínimo que las terminen
70,viva Morena
71,"no pues para que lo empiezan 8 días antes, yo digo que en esos días salgamos más, para que sepan nuestra situación real"
72,saldrán con la excusa de q era una remodelacion muy aparte del.mundial ...
73,Ahora resulta que ya todos son críticos y arquitectos
74,pero solo arreglaron los ventiladores de la línea azul pero que hay de los ventiladores de las otras lineas bien gracias
75,"pero dicen ""no lo hubieran cuidado antes"" ¿y cuando han visto todo grafiteado y lleno de basura el metro? Los daños que tiene el metro en general son debido al uso de millones de personas y de años sin mantenimiento alguno."
76,15 días tienen
77,Si falta menos de una semana
78,Ya lo sabíamos wey ntp
79,es denigrante como el gobierno trata el transporte público y eso que es el transporte público de la capital del país
80,2 semanas faltan*
81,General Anaya está muy lento en remodelación y es un caos porque hay que buscar la salida
82,2 semanas*
84,¿Y qué?
85,así decíamos del Azteca
86,"te informo el metro no es campo de fútbol, porque tiene que estar listo???"
87,"Que esté listo en el momento que sea, el mundial es un buen pretexto para arreglarlo. Y que bueno."
89,"excepto que no remodelaron, solo redecoraron"
90,nmmn hasta ahorita se dan cuenta si desde que empezaron ya se sabía que no iban a terminar
91,Así quedó TACUBAYA
92,"No puede ser !!!! Que terrible, un metro con 70 años le encontraron humedad, devuelvan todo a como estaba !!"
93,Sus candelabros de temu y su papel tapiz. Hoy en día por eso todos tenemos mármol en las paredes por qué nos cuesta 60 pesos el metro y viene en rollo de 10 metros. Lo malo que en el recibo van a poner candelabros forjados en Italia y mármol traído de la minas de no sé. Total 500 millones .
94,lo peor esq las paredes de mármol las pusieron por encima de la pared de antes
95,[Sticker] y luego????
96,ni al caso esos candelabros en el metro son para una edificación colonial o algo donde reslmente luzcan de acuerdo a cierto tipo de arquitectura o edificacio. pero en el metro ?????
97,¿ Las líneas son temáticas? Vi que Auditorio parece un Toks
98,renuncia Clara Brugada
99,De tanta gente ni se va a ver
100,esas goteras tienen mi edad 35 años
101,"ví un meme de esos candelabros y pensé que era una broma, y no!! si pusieron"
102,Un poco de pintura lila y queda como nuevo
103,"Bro reemplazaron el fokin mármol por material mas barato y menos duradero, quien se quedó con todo el mármol????"
104,ves que ya no alcanzo el presupuesto para eso era candelabros o techo y el inge lo dejo a la suerte agilas candelabros
105,No Bro es que ahora estamos hablando de fútbol
106,o su restauración del metro auditorio y el resto de la línea horrorosa
107,y las inundaciones fuera del metro ni se diga
108,Los candelabros iluminan bien la goteras
109,"Acá decimos, TE DAN ATOLE CON EL DEDO"
110,[Sticker] SE HIZO RÁPIDO LA REMODELACIÓN NUNCA DIJIMOS QUE BIEN
111,70 % de los trenes están descompuestos
112,yo le doy 1 mes que van a durar
113,Disfruten su voto
114,esos serán moteles no se agan
