,comentario,rango_humano
0,Que ese día no haya clases? Porque el futbol es tan importante .,2.0
1,ni vengan es peligrosisimo,2.0
2,Que Miedo??????????,1.0
3,como se atreve si esta viendo el pais como esta,1.0
4,le faltó el aeropuerto de Toluca y el tren de Toluca a la CDMX y viceversa,2.0
5,pues si se escucha muy bonito pero hablando ya la verdad sin seguridad quien fregado quiere andar sabiendo que de un rato a otro te ponen el cuete,2.0
6,[Sticker] jajaja,1.0
7,Demasiada delincuencia y ella no ase nada no sirbe para presidenta,1.0
8,Ya no doña,3.0
9,"vieja rata ,y de seguro va a subir el impuesto por atender al turismo",1.0
10,"Y con las calles llenas de hoyos , socavones , ladrones , delincuentes , Tlalpan con dos carriles menos etc etc",1.0
11,nooooo creoooo,2.0
12,"Ya no se va hacer cambiaron de opinión No hay mal, que por bien no venga.",2.0
13,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,3.0
14,ojalá no valla nadie,2.0
15,Los que opinan son de país que nunca han tenido un mundial,2.0
16,va... pero me van a pagar lo de mi trabajo y me van a llevar la despensa a mi casa... mas una compensación...jalo,4.0
17,eres grande precidentes ????,5.0
18,el país más inseguro del mundo eso deberías de aser con la seguridad de mexico acuérdate que por tu culpa ay millones de desaparecidos,1.0
19,K dijo,3.0
20,[Sticker] pues igual ni salgo pero del puro coraje esos días voy a salir,2.0
21,"y si mandamos una petición a la FIFA para que no haya mundial en México? cómo protesta, digo",1.0
22,yo voy a salir con mi familia y amigos!! aunque no tenga a que salír!!,2.0
23,[Sticker] pero porqué? si la movilidad está al 100,3.0
24,todo por eso hay que salir jajaj ????,3.0
25,Y van a ver todo el desmadre que hay en el país,1.0
26,???? el peor pais para ir de turistas no se arriesgen gente,1.0
27,Home office todo el año,3.0
28,??????,3.0
29,Y no les quedarán ganas de regresar con tanto policía corrupto y tanta inseguridad siento vergüenza,1.0
30,Ni mi ex se avergüenzo tanto de mi,2.0
31,no creo vengan muchos después del sorteo pues puro relleno y ninguna selección importante vendrá,1.0
32,cosas que literalmente nunca dijo ????????,3.0
33,????????,3.0
34,a cuántos vas a desaparecer?,1.0
35,pues si me.pagan y vacaciones pagadas ni salgo ??,4.0
36,Todo el mundial en México fue un grave error desde el comienzo... Y con cada declaración de Claudia la cosa se pone peor,1.0
37,[Sticker] Que salgamos dice,3.0
38,"que vengan , no sean negativos",5.0
39,Eso 5.5 millones de turistas q presumen mucho se van a quedar a vivir sin documentos,2.0
40,si pero hay mucha gente estorcion y delincuentes as al para detener la delincuentes primero,1.0
41,??????,3.0
42,Valió venga eso,2.0
43,Les dije!!! Ya se les olvidó el gobernador que renunciaron y todo ??,3.0
44,"En el aeropuerto de Felipe Angeles, esperé mi vuelo nos más por 28 hs.",3.0
45,Ivan !??,3.0
46,México es inseguro no vallan se arrepentiran,1.0
47,lo del home office esta bien para evitar el embotellamiento pero de igual forma porque prohibir salir solo para que los turistas no se incomoden?,2.0
48,Ya no habrá mundial por la inseguridad que hay en México,1.0
49,"El tren que menciona que está por el AIFA, es tren que viene de Pachuca?",3.0
50,con más razón voy a salir,2.0
51,No gracias esta dura la delinquencia,1.0
52,??????,3.0
53,"que te parece si previo al mundial optimizan los sistemas de trasporte para que la ciudadanía y los turistas no sufran por tráfico y otras averías constantes del trasporte público y vialidades, absurda!",1.0
54,"ya están pensando cuánto va irse a los bolsillos de cada uno de ellos, mentira que va hacer para mejorar en todo el país. o ustedes que opinan. ??",1.0
55,????????,3.0
56,"FiFA va cancelar el mundial mexico 2026 por la inseguridad, narkos, homicidios",1.0
57,??,3.0
58,jajaja y luego...?,3.0
59,No mija ya es diciembre.. el bono y pues no marcame enenero,3.0
60,"Y todas las ganancias que habrá en Jalisco, adivinen quien se las va a robar.? Boicot en Jalisco por los desaparecidos",1.0
61,??????,3.0
62,A pero no sé habla de la demanda ??,3.0
63,también van a detener las construcciones que están sobre paseo de la reforma,2.0
64,Que salgamos todos dice ??,3.0
65,Mi presidentaaa????,3.0
66,Ella nos pagará? Cubrirá todo nuestros gastos? .Sencillo hagan que sea seguro salir listo.,4.0
67,??????,3.0
68,??????,3.0
69,Que hagamos manifestaciones enfrente de los estadios a la hora de los partidos dice,1.0
70,ojalá lo cancelen aqui,1.0
71,"A ver como le va, mucha inseguridad.",1.0
72,"Hola, gente. Me gustaría saber qué tan seguro es México ahora mismo. Soy de España y quiero ir al Mundial en Guadalajara.",3.0
73,[Sticker] Que nos manifestemos dice,1.0
74,Como verg quiere que don Chuy que trabaja en la obra haga home office?,2.0
75,Lo que le debería preocupar es la mala imagen e ineptitud de su gobierno tanta inseguridad y desaparecidos x eso los turistas ni de locos usarán el metro saben q no es confiable y x eso están contratando autos blindados y seguridad.,1.0
76,"Yo cuando dijo eso:No ni mergas Yo cuando vi que decía ""Suspensión de clases"":Tiene mi boto",3.0
77,hiban a venir ??????????,3.0
78,ojalá no se arme aquí,1.0
79,Se van a rayar los policías ?????con tanta mordida q van a pedir,2.0
80,y a esos si los va a cuidar o como a los mexicanos????,3.0
81,Es como decirle a un niño que lo haga,3.0
82,??,3.0
83,Women,3.0
84,Esto sonó como un reto de salir más ??,3.0
85,"¿Y si mejor reparan las calles, mejoran el transporte público y todos los aspectos de movilidad en la ciudad para que no solo los turistas lo disfruten? Digo, es una opción, que mejor forma de aparentar ser una ciudad de primera, que siendo una ciudad de primera",2.0
86,"Que no salga ella, va a espantar a los turistas ??",3.0
87,Jajjajaja wue no mameeee,2.0
88,no mas eso faltaba,2.0
89,Espero que sea fake ??????????,3.0
90,@pelusokun ????,3.0
91,Es hora de comenzar el juego!,5.0
92,seguramente voy a vender jamón por home ofice,3.0
93,pues mientras me paguen mis días de trabajo yo con gusto me quedo a descansar a mi casa ??,4.0
94,"acoso que como turista quiero ver una ciudad vacía , si viajo es por la cultura",3.0
95,que salga? bueno,3.0
96,??????,3.0
97,"Me alegra, y verán en lo que convertiste México.",3.0
98,No gracias,2.0
99,"Si por eso quiero salir, para ver gente diferente ????",4.0
100,"Ya se hubiera remodelado el AICM desde hace años, si no fuera por el capricho de construir el AIFA",1.0
101,"nos pagarán por eso, yo me apunto, si me van a pagar bien",5.0
102,¡NO SE QUIEN LAS INVENTO!?????????? ???????,3.0
103,Ahora resulta que estar vivo en México es ilegal. 5.5millones me va conocer ! Que maravilla !!,3.0
104,cuántos dices que vendrán ??? dime,3.0
105,creo q porfin habla algo inteligente,5.0
106,no manches presidenta y como los vaz a mandar a cuidar mejor q sea en otro lado mi México es hermoso y ahora está en tinieblas,1.0
107,Ahora si los policías se van hacer ricos los weyes ??,3.0
108,excelente presidenta gracias ??,5.0
109,ni a palos,1.0
