,text
0,"prefiero un México sin desaparecidos, que un mundial, espero que puedan encontrarlos y los familiares tengan paz"
1,una manifestación grande el día del mundial
2,"México no quiere mundial, México quiere seguridad"
3,"Para los que no entienden, ojalá nunca les toque buscar un familiar o que sean ellos a los que los tengan que buscar"
4,"“Nuestros desaparecidos, muchos, jugaban futbol”"
5,No queremos mundial !!! Queremos seguridad
6,¿Saben qué da mucha vergüenza? Que hay personas que prefieren que su equipo gane a que encuentren a los desaparecidos...
7,Cancelen el mundial
8,"Me encanta el futbol y espero con ansias que empiece el mundial, pero deseo que los mexicanos se hagan muuuy presentes el día de la inauguración afuera del azteca, es la oportunidad perfecta para que el mundo sepa lo que vivimos."
9,pinche realidad tan triste que vivimos
10,No hay nada que celebrar. Que el mundo entero conozca lo que se vive aquí en México día con día el miedo a salir y no regresar.
11,"[Sticker] interactuen, que se difunda lo que si importa"
12,no necesitamos un mundial !!! necesitamos justicia y seguridad
13,[Sticker] pero ella jura que todo está bien
14,hagamos una marcha el día del mundial!!!📢📢
15,"Por mucho que ame el fútbol, la seguridad de las personas es importante, el mundial no es importante cuando hay una crisis así en el país.
difundan el vídeo para que llegue a mas personas."
16,"""No estamos encontra del mundial, estamos encontra del olvido""."
17,"No queremos mundial, queremos que los desaparecidos regresen a casa!!🥹"
18,"[Sticker] A los gobiernos no les importa ni el fútbol ni los jugadores, solo les importa tener una cortina de humo"
19,"No queremos mundial, queremos justicia"
20,"No queremos Mundial, queremos un México seguro… 👊🏻"
21,cancelen el mundial
22,"de por sí me cae mal el futbol, ahora mas"
23,"no dejen de luchar, queremos regresos no mundiales 🤗"
24,interactuando para que se haga viral
25,Yo no entiendo como no son empaticos ósea soy madre y perder un hijo no tiene nombre y se que no puedo dimensionar lo que sienten pero si puedo hacer algo y si el gobierno tiene recursos es incongruente que para unas cosas si puede gastar y otras no
26,[Sticker] ojalá encuentren a los desaparecidos
27,NO AL MUNDIAL
28,"No queremos mundial, queremos seguridad ✊🏼"
29,boicoteen el mundial
30,en estos momentos el mundial es importante
31,Y q podrian hacer? Decir no al mundial y seguir Como siempre?
32,El PRIAN firmó los acuerdos del mundial y Movimiento Ciudadno es lo mismo
33,Nada que ver una cosa con la otra
34,"el mundial no trae ningún beneficio al país anfitrión, solo hay que investigar el desastre que ocurrió en cada país anfitrión del mundial"
35,[Sticker] igual el mundial mexico no va pasar de cuartos
36,señor porque no decían nada antes porque haora 😡😡
37,"Es que, el mundo se acaba para unas personas y sigue para otras, los que no tienen problemas si desean el mundial, lo siento en verdad por los que una tristeza o injusticia hará que vean al mundial como un gasto innecesario"
38,pero ellos no tienen la culpa
39,proteger a los Mexicanos:❌️proteger a los turistas:✅️
40,osea que si pueden proteger 😳 pero no quieren😳😳😳
41,Messi y Cristina llegando a México
42,"México protegiendo a todos menos a los mexicanos, ojalá no haya mundial neta"
43,Osea están reconociendo que si pueden dar seguridad a México pero han escogido en no hacerlo todo este tiempo? este régimen es una burla
44,la FIFA deberían de suspender el mundial en México
45,Por qué no hicieron esto cuando Carlos Manzo pidió ayuda?
46,Hablando mucho de México y un pais vecino esta en guerra
47,"Proteger a los extranjeros ✔️, Proteger a los mexicanos ❌️"
48,"Te odio, te odio con todo mi ser gobierno de México"
49,Y los mexicanos desapareciendo cada día 🥀😕
50,"Y solo durante el mundial, terminando todo regresará a como estaba o peor"
51,[Sticker] Por qué siguen insistiendo con el mundial?
53,"osea que si se puede, nomás no quieren"
54,que se cancelé el mundial!!! no lo queremos!!!
55,Y por qué no hacen eso siempre y no solo para el mundial en lugar de gastar nuestros impuestos en croquetas del bienestar
56,Y si hacemos el plan KUKULKÁN permanente y no nada más en el mundial !!!!
57,"Canada: En crisis
estados unidos:En guerra
México: También en guerra pero interna"
58,"No ma, si podían hacen eso; porque no lo hicieron con nosotros?"
59,Y por qué no hacen ese plan para limpiar México no solo por un show😏
60,¿Cómo podemos registrarnos como turistas aunque seamos locales? Nos urge sentirnos seguros
61,el plan Kukulkán llegó para quedarse o solo será temporal mientras está el mundial 🤔🤔
62,pues el plan Kukulkán ya se debería quedar 365 días no? diiiigo
63,Es más seguro ir a jugar a Israel o iran que a México 🤣🤣🤣
64,Entonces si había tecnología para acabar con el crimen organizado??? Pero no querían trabajar ???
65,We que se cancele
66,"No soy de México, pero como que hay más enfoque en el mundial que en su gente?"
67,México está en guerra no tienen que hacer partidos ahí.
68,México ni Estados Unidos merecen ser sede
69,Porque no entienden que no se trata de partidos políticos ni gobiernos se trata de quien Gobierna cada entidad quien este en la presidencia es lo mismo hará lo que pueda en su gobierno pero los que son los Gobernadores delegados o presidentes de cada entidad son los que hacen lo que quieren
70,"nadie deberia comprar esos boletos tan caros,,,,no lo valen"
71,Oigan una pregunta en mi tierra también ay desaparecidos pero andan con esa propaganda sirve de algo pregunto??
72,"Llenen este carrito de super , yo empiezo 🛒"
73,el dinero y el football es más importante que las vidas de la gente todo mundo lo sabe
74,y si exigimos que no sea lo del mundial ?
75,QUE CANCELEN EL MUNDIAL
76,Deja tu flor (interactuando) 🌸👇🏻
77,"Prefiero un México sin desaparecidos, que un mundial, espero que puedan encontrarlos y los familiares tengan paz"
78,[Sticker] interactuando
79,Pero Dice Tu Tía Claudia Que Cada Vez Estamos Mejor
80,Pero el responsable del mundial el la presidencia no las gobernaturas !
81,"wey México con aviones F5, ya esos son de museo"
82,jajajaja no tenemos ese tipo de aviones 😂😂😂
83,Este wey ya me da risa 😂😂😂😂
84,Nos puede des decir de donde sale o que significa KUKULCAN me suena a cucurrucucu hay México
85,Menos ganas me dieron de ir a México la neta
86,México es un estado fallido
87,Irán atacará en pleno mundial. Acuérdense de este comentario 🥶👀
88,Esto del mundial terminará muy mal
89,A quien le importa el mundial ahorita 😒
90,Y solo para el mundial?
91,"El turismo también aporta, fortalece la economía, es obvio que debe ser seguro!! porque criticamos todo!!"
92,Duda latinus es independiente o pertenece a alguna televisora ?
93,Quien en su sano juicio iría a México solo por el mundial
94,"deberían de quitarle el mundial a estados unidos,..... loreto"
95,"Bienvenidos a la realidad , que KUKULKÁN ni que 💩💩💩 Uds son los verdaderos TITI CAPY del crimen organizado , son una cofradía de mafiosos y corruptos"
96,30 días de seguridad en México!! hay de disfrutarla porque no lo volveremos a ver hasta que tengamos otro mundial...🤨
97,"imponer el plan Kukulkán en México para que acaben con la violencia ❌
imponer el plan Kukulkán solo para el mundial y atraer extranjeros ✅"
98,[Sticker] KuKulKan me suena conocido
99,y por qué protegen tanto a los extranjeros y nunca a nosotros los del pueblo que somos los que pagamos impuestos
100,"Nada les embona, que si hay seguridad, que si es demasiada seguridad 🤦🏻"
101,"Para eso si hay Ejército, Marina, GN, pero aquí en Sinaloa qué siga la violencia 😎"
102,ni loko iria a México
103,"no queremos mundial, queremos de regreso a nuestros desaparecid@s."
104,ideas 💡 caminar el dia del mundial en jalisco
105,apollemos a estos padres y madres buscadoras Dios los bendiga y los proteja
106,no queremos mundial!
107,no queremos mundial
108,"Un abrazo a las familias, apoyemos para que se hagan virales y los escuchen ☹️☹️"
109,"Con todo lo qué pasa en el país, ¿de verdad necesitamos un mundial? Yo no lo creo."
110,"Es que entiendan, no están en contra del mundial ni nada, sino que están en contra de que se gasten miles de millones de pesos en remodelaciones innecesarias solo para verse ""bonita"" para menos del mes, mientras no hay dinero para búsquedas de desaparecidos, no hay dinero para medicamentos, no hay dinero para nada"
111,"y así Claudia dice que no vean tv azteca, más bien no quiere que vean sus errores cómo ""líder"""
112,pero si peña nieto fue el que trajo el mundial a México
113,es de terror lo que vivimos en México
114,por qué no hay empatía
115,Una manifestación mega grande el día del mundial que el mundo se entere en carne propia lo que se vive día a día en México
116,NO queremos mundial 😡
117,Que tiene que ver el mundial von el Gobierno
118,Si debemos estar en contra del mundial es un gasto innecesario para el mundo mientras hay temas como este que realmente si importan
119,"A mí me ""vale"" el mundial. Hay cosas más importantes"
120,[Sticker] No ven TV Azteca
121,"ALV el mundial, queremos seguridad"
122,ESTE GOBIERNO ES UNA REAL VERGUENZA🤣🤣
123,Y para cuándo él plan para proteger a los mexicanos ?
124,Pero si en México te asalta hasta la policía
125,Ósea que si pueden brindar seguridad pero no les da la gana
126,"Eso significa que si pueden implementar seguridad, solo que no les interesa proteger a los mexicanos"
127,Cuidan más alos extranjeros que asu propia gente gobierno hambriado y corrupto
128,Y la seguridad para la demás gente que
129,"Que así cuidaran a los mexicanos todos los días, otra historia sería"
130,Plan (Kukulcán ) cagarla más
131,ojala cancelen el mundial
132,México no merece el mundial de fútbol ⚽
133,Como dicen solo barres tu casa cuando vienen visitas
134,necesitamos seguridad no mundial
135,"Ah entonces si se puede dar seguridad
pero no para nosotros
Que interesante"
136,hay otros que nacen en Méjico
137,Nos queda claro que a este gobierno no le interesa protegernos
138,para los turistas si hay seguridad y para nosotros los ciudadanos que
139,Para defender a los extranjeros y a los mexicanos cuando 🤣
140,y porque no aplican eso a diario?😂
141,[Sticker] pueden proteger a todos menos a los mexicanos
142,Tanta seguridad para extranjeros y para los mexicanos nada.
143,y plan para proteger a los turistas pero no a los mexicanos 😆🤣
144,nos traicionó el sistema
145,"No hay seguridad para nosotros, los mexicanos ¿cómo quieren asegurar a los extranjeros? 😑😑😑"
146,esperemos que si se cancele el mundial.
147,[Sticker] Los Mexicanos:
148,"la neta.... México da miedo, es como ir a palestina y esperar que salgas bien"
149,Ya cancelen el mundial
150,y si hacemos un mundial cada mes y así estamos protegidos todo el año!? 🙃
151,"no queremos mundial, queremos 0 violencia , 0 políticos corruptos"
152,Y sin el mundial no lo van a hacer o qué?
153,"Plan para que el país mejore : ❌
Plan para el mundial solamente: ✅"
154,Por qué no hablan de cancelar el mundial en Estados Unidos por riesgo a un ataque 🙄
155,ya no miren TV Azteca
156,[Sticker] NO QUEREMOS MUNDIAL
157,no al mundial
158,"Mucho activismo en los comentarios, pero la mayoría compraron los álbumes (qué es una ganancia para ellos) y van hasta endeudarse alguno para ir al mundial."
159,"no necesitamos un mundial , necesitamos apoyo para las madres buscadoras !!"
160,no queremos mundial queremos seguridad
161,Me encanta el futbol y me llena de mucha alegría que los mexas sabemos que aquí lo importante son nuestros desaparecidos la exigencia de seguridad y una vida digna para todos mis compatriotas
162,mis oraciones para Mexico y todos los padres que buscan a sus seres queridos
163,no queremos mundial
164,no queremos mundial gobierno mediocre queremos seguridad de nuestro país queremos nuestros ecosistemas limpios queremos que no destruyan nuestros ecosistemas y acaben con la naturaleza queremos un país con soberanía
165,Interactuemos
166,PAZ PRIMERO Y LUEGO MUNDIAL
167,No vean TV Azteca
168,"A quien le gustaría a un mundial al cuál no podrá ir un hijo, un hermano o padre"
169,"@__carolom__: Lo ideal sería boicotear el mundial y no acudir al estadio, no consumir de las marcas patrocinadoras ... pero seguiré soñando, porque en mi México mágico eso jamás sucedería"
170,🥹 Las madres buscadoras requieren todo el apoyo
171,"No estamos en contra del mundial, estamos en contra de que se le dé prioridad a algo que NO lo es. 😩"
172,la verdad para que queremos un mundial si la selección mexicana no va a ganar el mundial
173,Hay que cancelar el mundial eso no es importante lo importante es tratar los problemas del país
174,Ya que cancelen el mundial por fsvooooor
