comentario,etiquetado_humano
Que ese día no haya clases? Porque el futbol es tan importante .,2
ni vengan es peligrosisimo,2
Que Miedo??????????,1
como se atreve si esta viendo el pais como esta,1
le faltó el aeropuerto de Toluca y el tren de Toluca a la CDMX y viceversa,2
pues si se escucha muy bonito pero hablando ya la verdad sin seguridad quien fregado quiere andar sabiendo que de un rato a otro te ponen el cuete,2
[Sticker] jajaja,1
Demasiada delincuencia y ella no ase nada no sirbe para presidenta,1
Ya no doña,3
"vieja rata ,y de seguro va a subir el impuesto por atender al turismo",1
"Y con las calles llenas de hoyos , socavones , ladrones , delincuentes , Tlalpan con dos carriles menos etc etc",1
nooooo creoooo,2
"Ya no se va hacer cambiaron de opinión No hay mal, que por bien no venga.",2
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,3
ojalá no valla nadie,2
Los que opinan son de país que nunca han tenido un mundial,2
va... pero me van a pagar lo de mi trabajo y me van a llevar la despensa a mi casa... mas una compensación...jalo,4
eres grande precidentes ????,5
el país más inseguro del mundo eso deberías de aser con la seguridad de mexico acuérdate que por tu culpa ay millones de desaparecidos,1
K dijo,3
[Sticker] pues igual ni salgo pero del puro coraje esos días voy a salir,2
"y si mandamos una petición a la FIFA para que no haya mundial en México? cómo protesta, digo",1
yo voy a salir con mi familia y amigos!! aunque no tenga a que salír!!,2
[Sticker] pero porqué? si la movilidad está al 100,3
todo por eso hay que salir jajaj ????,3
Y van a ver todo el desmadre que hay en el país,1
???? el peor pais para ir de turistas no se arriesgen gente,1
Home office todo el año,3
??????,3
Y no les quedarán ganas de regresar con tanto policía corrupto y tanta inseguridad siento vergüenza,1
Ni mi ex se avergüenzo tanto de mi,2
no creo vengan muchos después del sorteo pues puro relleno y ninguna selección importante vendrá,1
"cosas que literalmente nunca dijo
????????",3
????????,3
a cuántos vas a desaparecer?,1
pues si me.pagan y vacaciones pagadas ni salgo ??,4
Todo el mundial en México fue un grave error desde el comienzo... Y con cada declaración de Claudia la cosa se pone peor,1
[Sticker] Que salgamos dice,3
"que vengan , no sean negativos",5
Eso 5.5 millones de turistas q presumen mucho se van a quedar a vivir sin documentos,2
si pero hay mucha gente estorcion y delincuentes as al para detener la delincuentes primero,1
??????,3
Valió venga eso,2
Les dije!!! Ya se les olvidó el gobernador que renunciaron y todo ??,3
"En el aeropuerto de Felipe Angeles, esperé mi vuelo nos más por 28 hs.",3
Ivan !??,3
México es inseguro no vallan se arrepentiran,1
lo del home office esta bien para evitar el embotellamiento pero de igual forma porque prohibir salir solo para que los turistas no se incomoden?,2
Ya no habrá mundial por la inseguridad que hay en México,1
"El tren que menciona que está por el AIFA, es tren que viene de Pachuca?",3
con más razón voy a salir,2
No gracias esta dura la delinquencia,1
??????,3
"que te parece si previo al mundial optimizan los sistemas de trasporte para que la ciudadanía y los turistas no sufran por tráfico y otras averías constantes del trasporte público y vialidades, absurda!",1
"ya están pensando cuánto va irse a los bolsillos de cada uno de ellos, mentira que va hacer para mejorar en todo el país. o ustedes que opinan. ??",1
????????,3
"FiFA va cancelar el mundial mexico 2026 por la inseguridad, narkos, homicidios",1
??,3
jajaja y luego...?,3
No mija ya es diciembre.. el bono y pues no marcame enenero,3
"Y todas las ganancias que habrá en Jalisco, adivinen quien se las va a robar.? Boicot en Jalisco por los desaparecidos",1
??????,3
A pero no sé habla de la demanda ??,3
también van a detener las construcciones que están sobre paseo de la reforma,2
Que salgamos todos dice ??,3
Mi presidentaaa????,3
Ella nos pagará? Cubrirá todo nuestros gastos? .Sencillo hagan que sea seguro salir listo.,4
??????,3
??????,3
Que hagamos manifestaciones enfrente de los estadios a la hora de los partidos dice,1
ojalá lo cancelen aqui,1
"A ver como le va, mucha inseguridad.",1
"Hola, gente. Me gustaría saber qué tan seguro es México ahora mismo. Soy de España y quiero ir al Mundial en Guadalajara.",3
[Sticker] Que nos manifestemos dice,1
Como verg quiere que don Chuy que trabaja en la obra haga home office?,2
Lo que le debería preocupar es la mala imagen e ineptitud de su gobierno tanta inseguridad y desaparecidos x eso los turistas ni de locos usarán el metro saben q no es confiable y x eso están contratando autos blindados y seguridad.,1
"Yo cuando dijo eso:No ni mergas
Yo cuando vi que decía ""Suspensión de clases"":Tiene mi boto",3
hiban a venir ??????????,3
ojalá no se arme aquí,1
Se van a rayar los policías ?????con tanta mordida q van a pedir,2
y a esos si los va a cuidar o como a los mexicanos????,3
Es como decirle a un niño que lo haga,3
??,3
Women,3
Esto sonó como un reto de salir más ??,3
"¿Y si mejor reparan las calles, mejoran el transporte público y todos los aspectos de movilidad en la ciudad para que no solo los turistas lo disfruten?
Digo, es una opción, que mejor forma de aparentar ser una ciudad de primera, que siendo una ciudad de primera",2
"Que no salga ella, va a espantar a los turistas ??",3
Jajjajaja wue no mameeee,2
no mas eso faltaba,2
Espero que sea fake ??????????,3
@pelusokun ????,3
Es hora de comenzar el juego!,5
seguramente voy a vender jamón por home ofice,3
pues mientras me paguen mis días de trabajo yo con gusto me quedo a descansar a mi casa ??,4
"acoso que como turista quiero ver una ciudad vacía , si viajo es por la cultura",3
que salga? bueno,3
??????,3
"Me alegra, y verán en lo que convertiste México.",3
No gracias,2
"Si por eso quiero salir, para ver gente diferente ????",4
"Ya se hubiera remodelado el AICM desde hace años, si no fuera por el capricho de construir el AIFA",1
"nos pagarán por eso, yo me apunto, si me van a pagar bien",5
"¡NO SE QUIEN LAS INVENTO!??????????
???????",3
"Ahora resulta que estar vivo en México es ilegal.
5.5millones me va conocer !
Que maravilla !!",3
"cuántos dices que vendrán ???
dime",3
creo q porfin habla algo inteligente,5
no manches presidenta y como los vaz a mandar a cuidar mejor q sea en otro lado mi México es hermoso y ahora está en tinieblas,1
Ahora si los policías se van hacer ricos los weyes ??,3
excelente presidenta gracias ??,5
ni a palos,1
si no hay maíz no hay mundial ??,1
en Guadalajara también se le ocurrió la misma ide.....otez a Lemus ??,1
por mi esta bien pero que me aga un deposito de retiro sin tarjeta de unos 1.000.000.000.000.000.000.000.000.000.000.000.000.000.000 y ya veremos,3
Que estamos muy pinches feos,3
[Sticker] Usted tampoco querida,3
todos a salir de casa en junio...,2
ni mi ex me escondía tanto ??,3
"Queremos seguridad y medicinas, al pueblo no le interesa.",1
cuando pensó que era buena idea? ??,3
alguien dijo... que protestemos contra las desapariciones para que los turistas conozcan la realidad de México?,1
??,3
[Sticker] ,3
jajaja solo tonteras de este gobierno,1
Están viendo como esta México usted cree que vengan ??,2
Esa mujer piensa que puede controlar y jugar como juguete a las personas,3
Y la mentira jajaja,3
QUE HAGAMOS MANIFESTACIÓN DICE??,3
???????? con la inseguridad quien va querer ir a mexico,1
"Disculpa soy Mexicana, que no me quedé en casa YO así entendí ????",3
????????,3
va ser el mundial más aburrido sí es que no pasa algo canónico,4
Ok pero díganselo a mi jefecito porque me obliga a venir a la oficina,2
??????,3
Que ese diga hagan una manifestación dice,1
??????,3
??????,3
"yo aún me preguntó,que tiene de importante el mundial de fútbol? que da o en qué beneficia esa madre?",2
??????,3
"Los carteles se van a dar vida con los turistas, a quien se le ocurrió darle el mundial a México ? ??????",4
y regresando ya no están completo,2
Que acaso la FIFA no lo cancelo y va hacer ahora en EU ???,3
??????,3
"solo les recuerdo que una mujer perdió la vida solo por salir en busca de empleo, un enfermo desvivio a varias personas desde una pirámide de Teotihuacan y el metro de la ciudad está en su peor momento, RAZONES PARA MANIFESTARNOS DURANTE EL MUNDIAL SI TENEMOS",1
[Sticker] ,3
"como si fuera a venir medio mundo, para la miseria de partidos que se jugarán en México????",3
??????,2
cuántos secuestrados va haber...,1
si we dame dinero pa quedarme todo ese tiempo en mi ksa y paga netflix pa entretenerme erra,3
Eso me sono a reto...??,3
no creo que vayan ???? con el desmadre que trae doña limones ??,2
??????,3
y con ese recurso recabado aumentara la seguridad? para los mexicanos,1
Porque siento como que abra millones de personas muy pronto en las calles ????????,3
"[Sticker] chale, apenas q aprendí a comer con cubiertos y decir ""buenas tardes""",3
si me paga mis 50 que ganó en el trabajo por ir 6 horas al día me quedo todo el año jaja ????,3
??????,3
cómo ven si les podemos su mundial,5
??????,3
ya les diría que es mui inseguro,1
#claudianoestassola,5
"Pero primero seguridad, porque si no va a valer madre",2
Que salgamos dice,2
no lo creo q cuánto sinismo,1
"No loco voy a México, menos con la falta de seguridad, México necesita a @Lilly Téllez",1
"los que trabajamos en plazas, autoservicios, transportes públicos, etc, no hay que ir a trabajar para que no haya personal y Haci estén cerrados y que que lo sugirió la clara brugada",3
Que miedo……. ATENCIÓN TURISTAS MÉXICO NO PUEDE NI CON SU GENTE MENOS CON TURISTAS,1
"se salen de contexto ????????
pero siempre tirando tierra sus propuestas",5
[Sticker] Shiembaum diciéndole adiós a esos visitantes jajajaja,2
"soy mexicano.
no vengan a México, la presidenta se está pasando de lanza, la inseguridad está canija.",1
chsm,1
"[Sticker] que hagamos una manifestación, dice:...",1
????,3
[Sticker] ,3
??????,3
[Sticker] ,3
??????,3
que salgamos dice,3
Q hagamos manifestación dice,1
"[Sticker] Creo que esos días le voy a pedir a mi jefa que no sea home office ??, a ver a donde salgo",2
Normal mente ando en mi cueva pero esos días estaré en la calle todo el prro día,2
No venga por esta presidenta vale pa pura verg… por favor ni vayan,1
esta feliz porque van andar ocupados sus patrones del cartel ahora si llenaran las fozaz,3
[Sticker] ,3
En conclusión tendré más dinero y como es obvio no lo compartiré con el pueblo,3
"[Sticker] Oigan esa mmda,,, es neta que lo dijo",3
con las ganas sequedaron ya esta confirmado no habrá mundial en México la culpa la tiene la presidenta por la inseguridad que se vive,1
Y con tanto campo de exterminio señora,1
Presidenta ??,5
no puedes con los mexicanos ??,1
Urge la Revocación de Mandato,1
mujer tenía que ser,3
Parece perfecta idea para desviar la atención ??,1
no iba a salir pero ahora como que me están dando unas ganas de ir al ángel de la independencia varios dias seguidos,3
??,3
se van a dar cuenta k estamos.de.la ve.rga ... y k su gobierno es de la mierda..,1
jaja cierren negocios para disfruten el mundial,3
Cd Juarez ya no existe el turismo como antes que Ivan gringos de Texas New Mexico Denver pero no le inporta cd Juarez Chihuahua,1
"Seria glorioso que la FIFA anunciará que no habrá mundial por la inseguridad, para ver qué dice la incompetente de Claudia y sus solovinos del bienestar ??",2
"Claro vamos a salir más esos días, porque así somos los mexicanos....
??????????????",3
fijate que no estaría mal yo trabajo de didi podré aaer home Office desde mi casa,3
De eso si tiene información y hasta con detalle la señora pero qué tal de la inseguridad.,2
Sigan esperando????,
El punto medio lo entendí pero fue muy mal planteado xdd,
ya escucho jefe... que no voy a poder salir??,
Uff Monterrey tendrá turistas jajaja (humor llorones),
No creo así como está la delincuencia y tú no quieres hacer nada más que abrazarnos??????????,
que? que quiere manifestaciones??,
Quien se le antocaja de plantón esos días traemos carnitas asadas,
mejora la seguridad primero??,
??,
que nos paguen y así no salimos ni a tocar la luz del poco jajaajjajaja,
"y si mejor van y limpian los ríos, arreglan las calles, remodelan parques abandonados en vez de un mundial que solo traerá contaminación y gente, YA SOMOS MUCHOS!",
no que la gentrificacion,
con el peligro k los secuestren ??,
y cuántos van a regresar con vida a sus ciudades?,
??????,
ya me ví en el Oxxo Bailando con las de brasil,
"Sale, entonces me muero de hambre",
Yo a México no voy ni aunque me paguen el viaje todo pagado ?,
"y como tienes esos datos si aún no pasa.
y apoko ???? va estar como los tuburios esperando clientes pa poder ganar todos jajaja.. si me entiendes nO!!????",
??????????????????????????,
las soluciones del Bienestar.,
[Sticker] que nos manifestamos?,
manifestación ya yeaaaaaa,
nunca salgo pero ahora saldré nadamás para jod3r jajajajajajaa,
"que le pasa, iba a aprovechar para salir más jajajaja",
"Que gusto me va a dar que en pleno mundial le cierren avenidas, que protesten, que vean que el país se está cayendo …",
como cuidara a esos visitantes??? ??????,
??????,
"[Sticker] JAJSJA lo q dijo erick gerardo es comp decir q no es agua es H2O, JAJAJA ES LO MISMO PERO MAS FINO",
"tanto se la pasaban criticando a díaz Ordaz de la masacre en Tlatelolco y a si le valió y se efectuaron las olimpiadas del 68"" ahora que otra vez hacen lo mismo sabiendo que estamos viviendo días de violencia",
Donde esta el sticker de que se vaya a la... ??,
si mataron al alcalde de México ella no dijo nada imaginarse a los turista pasa nada.,
q salgamos dice,
Que miedo ir a México,1
Mejor más hospitales en vez de gastar en tonterías,
Y pur culpa de la disque presidente ya no se va hacer,
abajo el mundial,
y tiktok inundando de turistas diciendo y aconsejando que no vayan a México por el tema de la inseguridad y por qué todo está carísimo ??,
ojalá y dios quiera que nada malo les pase a esos visitantes digo por como está la inseguridad no valla hacer que terminen o desaparecidos o secuestrados,
CREO QUE QUIERE MANIFESTACIONES,
Que no compren el VAR,
eso antes debieron de preveer,
hay que hacer una tendencia para que fifa se lleve el mundial d3 México,1
[Sticker] les damos vergüenza ???,
y va a ir a tulam ??,
