comentario,etiquetado_humano,categoria
cuál es el más cercado para rayar el nombre de mi rukaleta,3.0,infraestructura
esos baños deberian estar en el metro no saben la falta que hacen,2.0,infraestructura
no pues bueno me da risa,3.0,infraestructura
los van a abandonar,2.0,infraestructura
nada los tiene contentos,4.0,infraestructura
se ve como 1520 no se de que te quejas,4.0,infraestructura
no maaaa,2.0,infraestructura
y que volteas hacia arriba,3.0,infraestructura
me da risa exacto hay un montón de fugas porque no arreglaron eso mejor nada más lo pintaron,2.0,infraestructura
que pensaban la lamparita costó bastantes millones de pesos no alcanzo para arreglar bien el anden,2.0,infraestructura
eso lo dejamos para otro mundial,3.0,infraestructura
les digo que hay goteras en pino suárez llueve más dentro que fuera del metro,2.0,infraestructura
me da risa gobierno tan p,1.0,infraestructura
8 años,3.0,infraestructura
solo en méxico,3.0,infraestructura
me da risa y cobraron como si fuera una restauración completa,2.0,infraestructura
me gozo como se disen de todo en los comentarios,3.0,infraestructura
y los baches,2.0,infraestructura
y donde que yo me echo unas bien apestosotas ajajaja,2.0,infraestructura
nuevas paredes mismaa goteras,2.0,infraestructura
que triste nada acertada esa decisión de poner candelabros que no sirven para nada,2.0,infraestructura
es como feria de pueblo pero en el metro,2.0,infraestructura
en chabacano ya se puede transbordar a consti,3.0,infraestructura
son las bajadas de las cascadas que pondran dentro del metro,2.0,infraestructura
si se mete el agua ya va a parecer otra escena de una película donde se mete el agua,2.0,infraestructura
pero que tal los baños de los metrobuses ya los cobran que tonteria,1.0,infraestructura
baños con ajolotes,4.0,infraestructura
y,3.0,infraestructura
puro cruising va haber,3.0,infraestructura
mejor arreglen las cosas,2.0,infraestructura
no entiendo por qué querer aparentar algo que no tenemos ni somos era mil veces mejor darle mantenimiento funcional y que los turistas y obvio los que realmente usan este transporte a diario tuvieran un buen servicio,1.0,infraestructura
la verdad si estoy de acuerdo en lugar de gastar en pendejadas como ha sido este gobierno hubieran arreglado las estaciones dejen que llueva y todo lo que hicieron va ir a la basura y se quejan de gobiernos anteriores,1.0,infraestructura
con la tarjeta de movilidad integrada,4.0,infraestructura
pero se ve bonito recuerda que es el gobierno de la maqueta bonita,4.0,infraestructura
fue remodelacion no reconstrucción eso seria casi imposible porque por arriba ya hay casas,4.0,infraestructura
eso es un gasto innecesario termino aran cerrados y con basura,2.0,infraestructura
y quién los vendió andy,3.0,infraestructura
para tapar los baches,2.0,infraestructura
las líneas del metro necesitan mantenimientoooooo,3.0,infraestructura
y habrá que ver cuántos miles de pesos costaron y a quien de sus compas favorecieron,2.0,infraestructura
y al metro lo están remodelando solo por el mundial así deberían de hacer siempre no solo por el mundial,3.0,infraestructura
iiii tu casa a de estar impecable muy observadora,3.0,infraestructura
primero,3.0,infraestructura
y los baches en el centro histórico pa cuándo,2.0,infraestructura
llego la locomotora 5972,3.0,infraestructura
me da risa,3.0,infraestructura
sanitarios del bienestar,3.0,infraestructura
esas goteras tienen mi edad 35 años,2.0,infraestructura
el peor gobierno de la historia de méxico,1.0,infraestructura
no veo las filas y el mar de gente estrenándolos por el fomo,3.0,infraestructura
triste realidad,1.0,infraestructura
y si ponen más seguridad,2.0,infraestructura
y cuantos millones costaron,3.0,infraestructura
es que necesitaba mantenimiento no remodelación,2.0,infraestructura
es interactivo así sabrás cuando esté lloviendo afuera me da risa,2.0,infraestructura
jajajajj,3.0,infraestructura
si el metro no sirve imagínate los baños hay nooooo por dios,2.0,infraestructura
ni un año les doy,2.0,infraestructura
casitas premium,2.0,infraestructura
esos candelabros son para que nos teletransportemos como en harry potter,3.0,infraestructura
omg ya eres toda una famosa,3.0,infraestructura
se está hundiendo el titanic,2.0,infraestructura
la neta está bien siempre hago en la calle pipi me da risa,3.0,infraestructura
creen que los candelabros evitarán que no se den cuenta de las deficiencias en el transporte colectivo,2.0,infraestructura
mejor pongan botes de basura en los metros luego se quejan que hay basura en todos lados,2.0,infraestructura
me da risa es para poder llenar las estaciones de agua me da risa,2.0,infraestructura
ni los baños públicos tendrán activación económica me da risa este mundial es solo para unos cuantos,2.0,infraestructura
me da risa,3.0,infraestructura
