"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"prefiero un México sin desaparecidos, que un mundial, espero que puedan encontrarlos y los familiares tengan paz","34048","51","2026-05-27T02:24:46.000Z","superhipo35","https://www.tiktok.com/@ajplusespanol/video/7644374184180616456","6994936866542158853","7644391856016999169","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/a86173e62948cde924ce6590da8161bd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0e1a8f92&x-expires=1780200000&x-signature=BOv8nMBNn1aocfZDKg%2F%2BMY38D%2FA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"una manifestación grande el día del mundial","13605","45","2026-05-27T05:09:56.000Z","franciscoalejand802","https://www.tiktok.com/@ajplusespanol/video/7644374184180616456","7582453164486493191","7644433320939389717","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c435e39236c41ba28d56291fa6c498aa~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ffe5a88a&x-expires=1780200000&x-signature=bCYQIxQlmrTvgjmJFklxX4Vqkms%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"México no quiere mundial, México quiere seguridad","2685","23","2026-05-27T23:20:53.000Z","nosoychofis","https://www.tiktok.com/@ajplusespanol/video/7644374184180616456","6803425656120050693","7644715536164848391","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8c8ebde253bec887fe82c5e3b980fbf5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=fe9bc0ca&x-expires=1780200000&x-signature=xi2Dd%2FHZopM%2BNsW3ESkASSJAWTc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Para los que no entienden, ojalá nunca les toque buscar un familiar o que sean ellos a los que los tengan que buscar","3555","42","2026-05-27T18:02:21.000Z","aletorresp","https://www.tiktok.com/@ajplusespanol/video/7644374184180616456","6800179671322936325","7644633328021095199","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/532ee528d0f7f705d20094cc6575d868~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=71062b11&x-expires=1780200000&x-signature=n%2FBKPBrDoB%2FM3lb3UARp%2BvOJ5yU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"“Nuestros desaparecidos, muchos, jugaban futbol”","1998","8","2026-05-27T14:06:45.000Z","magicoamigo","https://www.tiktok.com/@ajplusespanol/video/7644374184180616456","6966294427787543558","7644572748862538504","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/111bcea6b791c6fc4ffaf56660b6fc7d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=71914a07&x-expires=1780200000&x-signature=4L%2BlRp2%2FOj9o9oyYvp7x4MA8kfw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"No queremos mundial !!! Queremos seguridad","1043","11","2026-05-27T19:52:05.000Z","karlabolado0","https://www.tiktok.com/@ajplusespanol/video/7644374184180616456","6833206295747625990","7644661722193101575","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/3b0f0ebf26552dea157947d165163aa9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=daa8b524&x-expires=1780200000&x-signature=l84orfy%2FIfb7G9VSNGNDHSYedHU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"¿Saben qué da mucha vergüenza? Que hay personas que prefieren que su equipo gane a que encuentren a los desaparecidos...","86","1","2026-05-29T05:00:47.000Z",".vzzll","https://www.tiktok.com/@ajplusespanol/video/7644374184180616456","6925090750750344198","7645174210122351368","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/250cd7666ee39eb73c74986947fef7b5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=99afe28d&x-expires=1780200000&x-signature=inmAeUHmBkz58AdF5lzlCJ2k03U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Cancelen el mundial","55","4","2026-05-29T13:44:17.000Z","yesmyreyes191","https://www.tiktok.com/@ajplusespanol/video/7644374184180616456","7159504505532744709","7645309153430242066","https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/b1dc89b63a5b7a3c190c3078a93ae2c5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f46e8970&x-expires=1780200000&x-signature=4t6iuHV9vwUKtM63kVmp4R9Zn5s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Me encanta el futbol y espero con ansias que empiece el mundial, pero deseo que los mexicanos se hagan muuuy presentes el día de la inauguración afuera del azteca, es la oportunidad perfecta para que el mundo sepa lo que vivimos.","90","4","2026-05-27T19:56:22.000Z","biond7p","https://www.tiktok.com/@ajplusespanol/video/7644374184180616456","6916330082550531077","7644662815286919956","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b29ba7ee9b9ff387234700261ff7f424~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=87f4d8a5&x-expires=1780200000&x-signature=NzZFdYYM6Nvqee2PGE0MXSlr2%2FU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"pinche realidad tan triste que vivimos","524","2","2026-05-27T16:05:04.000Z","regquevean","https://www.tiktok.com/@ajplusespanol/video/7644374184180616456","6802046916516447238","7644603238142984967","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7ab1d9011e7f322cbfad0ce4b6b676f2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=682c4afa&x-expires=1780200000&x-signature=cXEVstt%2Bd%2BaqrUtU7kFfs8C9MIo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
