comentario,puntuacion_estimada,puntuacion_real,confianza,categoria
cuál es el más cercado para rayar el nombre de mi rukaleta,5,3.0,0.24815994501113892,infraestructura
esos baños deberian estar en el metro no saben la falta que hacen,1,2.0,0.3631354570388794,infraestructura
no pues bueno me da risa,2,3.0,0.43767014145851135,infraestructura
los van a abandonar,1,2.0,0.5663031935691833,infraestructura
nada los tiene contentos,1,4.0,0.4218955636024475,infraestructura
se ve como 1520 no se de que te quejas,3,4.0,0.28564316034317017,infraestructura
no maaaa,1,2.0,0.4860939681529999,infraestructura
y que volteas hacia arriba,1,3.0,0.4021046459674835,infraestructura
me da risa exacto hay un montón de fugas porque no arreglaron eso mejor nada más lo pintaron,1,2.0,0.49694308638572693,infraestructura
que pensaban la lamparita costó bastantes millones de pesos no alcanzo para arreglar bien el anden,2,2.0,0.4885219633579254,infraestructura
eso lo dejamos para otro mundial,1,3.0,0.3522978723049164,infraestructura
les digo que hay goteras en pino suárez llueve más dentro que fuera del metro,1,2.0,0.3442014753818512,infraestructura
me da risa gobierno tan p,1,1.0,0.427583247423172,infraestructura
8 años,5,3.0,0.4531795382499695,infraestructura
solo en méxico,1,3.0,0.2987949252128601,infraestructura
me da risa y cobraron como si fuera una restauración completa,5,2.0,0.28020521998405457,infraestructura
me gozo como se disen de todo en los comentarios,5,3.0,0.458296000957489,infraestructura
y los baches,5,2.0,0.32263249158859253,infraestructura
y donde que yo me echo unas bien apestosotas ajajaja,1,2.0,0.2266816943883896,infraestructura
nuevas paredes mismaa goteras,1,2.0,0.2688702940940857,infraestructura
que triste nada acertada esa decisión de poner candelabros que no sirven para nada,1,2.0,0.8599734306335449,infraestructura
es como feria de pueblo pero en el metro,3,2.0,0.38051387667655945,infraestructura
en chabacano ya se puede transbordar a consti,4,3.0,0.23392675817012787,infraestructura
son las bajadas de las cascadas que pondran dentro del metro,2,2.0,0.38474923372268677,infraestructura
si se mete el agua ya va a parecer otra escena de una película donde se mete el agua,1,2.0,0.3875409960746765,infraestructura
pero que tal los baños de los metrobuses ya los cobran que tonteria,2,1.0,0.34795916080474854,infraestructura
baños con ajolotes,4,4.0,0.29871734976768494,infraestructura
y,5,3.0,0.33103927969932556,infraestructura
puro cruising va haber,5,3.0,0.43584656715393066,infraestructura
mejor arreglen las cosas,5,2.0,0.47657060623168945,infraestructura
no entiendo por qué querer aparentar algo que no tenemos ni somos era mil veces mejor darle mantenimiento funcional y que los turistas y obvio los que realmente usan este transporte a diario tuvieran un buen servicio,2,1.0,0.32289013266563416,infraestructura
la verdad si estoy de acuerdo en lugar de gastar en pendejadas como ha sido este gobierno hubieran arreglado las estaciones dejen que llueva y todo lo que hicieron va ir a la basura y se quejan de gobiernos anteriores,1,1.0,0.5985460877418518,infraestructura
con la tarjeta de movilidad integrada,5,4.0,0.45557117462158203,infraestructura
pero se ve bonito recuerda que es el gobierno de la maqueta bonita,3,4.0,0.5008150339126587,infraestructura
fue remodelacion no reconstrucción eso seria casi imposible porque por arriba ya hay casas,1,4.0,0.5314095616340637,infraestructura
eso es un gasto innecesario termino aran cerrados y con basura,1,2.0,0.8290656208992004,infraestructura
y quién los vendió andy,5,3.0,0.29237210750579834,infraestructura
para tapar los baches,4,2.0,0.42472290992736816,infraestructura
las líneas del metro necesitan mantenimientoooooo,3,3.0,0.3306722044944763,infraestructura
y habrá que ver cuántos miles de pesos costaron y a quien de sus compas favorecieron,5,2.0,0.2839776873588562,infraestructura
y al metro lo están remodelando solo por el mundial así deberían de hacer siempre no solo por el mundial,1,3.0,0.3355373442173004,infraestructura
iiii tu casa a de estar impecable muy observadora,5,3.0,0.6073057055473328,infraestructura
primero,5,3.0,0.27699726819992065,infraestructura
y los baches en el centro histórico pa cuándo,5,2.0,0.25944676995277405,infraestructura
llego la locomotora 5972,1,3.0,0.32036006450653076,infraestructura
me da risa,3,3.0,0.23887068033218384,infraestructura
sanitarios del bienestar,4,3.0,0.3962322175502777,infraestructura
esas goteras tienen mi edad 35 años,1,2.0,0.31222209334373474,infraestructura
el peor gobierno de la historia de méxico,1,1.0,0.8898240327835083,infraestructura
no veo las filas y el mar de gente estrenándolos por el fomo,1,3.0,0.6169700622558594,infraestructura
triste realidad,1,1.0,0.46115967631340027,infraestructura
y si ponen más seguridad,3,2.0,0.48327693343162537,infraestructura
y cuantos millones costaron,1,3.0,0.39867010712623596,infraestructura
es que necesitaba mantenimiento no remodelación,2,2.0,0.3310643434524536,infraestructura
es interactivo así sabrás cuando esté lloviendo afuera me da risa,4,2.0,0.3156144917011261,infraestructura
jajajajj,4,3.0,0.2874769866466522,infraestructura
si el metro no sirve imagínate los baños hay nooooo por dios,1,2.0,0.6648256182670593,infraestructura
ni un año les doy,1,2.0,0.3549884259700775,infraestructura
casitas premium,5,2.0,0.34387314319610596,infraestructura
esos candelabros son para que nos teletransportemos como en harry potter,5,3.0,0.5439829230308533,infraestructura
omg ya eres toda una famosa,5,3.0,0.6773180961608887,infraestructura
se está hundiendo el titanic,1,2.0,0.6657070517539978,infraestructura
la neta está bien siempre hago en la calle pipi me da risa,4,3.0,0.42804405093193054,infraestructura
creen que los candelabros evitarán que no se den cuenta de las deficiencias en el transporte colectivo,3,2.0,0.2290884107351303,infraestructura
mejor pongan botes de basura en los metros luego se quejan que hay basura en todos lados,2,2.0,0.4346672594547272,infraestructura
