comentario,categoria,etiqueta_estimada,etiqueta_real,confianza
cuál es el más cercado para rayar el nombre de mi rukaleta,infraestructura,3,3.0,0.5752640962600708
esos baños deberian estar en el metro no saben la falta que hacen,infraestructura,2,2.0,0.5765330195426941
no pues bueno me da risa,infraestructura,2,3.0,0.48987913131713867
los van a abandonar,infraestructura,2,2.0,0.5596442818641663
nada los tiene contentos,infraestructura,3,4.0,0.35928261280059814
se ve como 1520 no se de que te quejas,infraestructura,4,4.0,0.5060704350471497
no maaaa,infraestructura,2,2.0,0.4905681908130646
y que volteas hacia arriba,infraestructura,2,3.0,0.5166577100753784
me da risa exacto hay un montón de fugas porque no arreglaron eso mejor nada más lo pintaron,infraestructura,2,2.0,0.5088930726051331
que pensaban la lamparita costó bastantes millones de pesos no alcanzo para arreglar bien el anden,infraestructura,2,2.0,0.6850364208221436
eso lo dejamos para otro mundial,infraestructura,3,3.0,0.5376704931259155
les digo que hay goteras en pino suárez llueve más dentro que fuera del metro,infraestructura,2,2.0,0.5025602579116821
me da risa gobierno tan p,infraestructura,1,1.0,0.8728043437004089
8 años,infraestructura,3,3.0,0.5082252621650696
solo en méxico,infraestructura,3,3.0,0.3905258774757385
me da risa y cobraron como si fuera una restauración completa,infraestructura,2,2.0,0.5627725720405579
me gozo como se disen de todo en los comentarios,infraestructura,2,3.0,0.43311238288879395
y los baches,infraestructura,2,2.0,0.5756438374519348
y donde que yo me echo unas bien apestosotas ajajaja,infraestructura,2,2.0,0.4770835041999817
nuevas paredes mismaa goteras,infraestructura,2,2.0,0.6181424856185913
que triste nada acertada esa decisión de poner candelabros que no sirven para nada,infraestructura,1,2.0,0.7272741198539734
es como feria de pueblo pero en el metro,infraestructura,4,2.0,0.37625303864479065
en chabacano ya se puede transbordar a consti,infraestructura,3,3.0,0.47784167528152466
son las bajadas de las cascadas que pondran dentro del metro,infraestructura,2,2.0,0.6675661206245422
si se mete el agua ya va a parecer otra escena de una película donde se mete el agua,infraestructura,2,2.0,0.5478032231330872
pero que tal los baños de los metrobuses ya los cobran que tonteria,infraestructura,2,1.0,0.46317097544670105
baños con ajolotes,infraestructura,4,4.0,0.5716965198516846
y,infraestructura,3,3.0,0.44560685753822327
puro cruising va haber,infraestructura,3,3.0,0.4930436313152313
mejor arreglen las cosas,infraestructura,2,2.0,0.6143138408660889
no entiendo por qué querer aparentar algo que no tenemos ni somos era mil veces mejor darle mantenimiento funcional y que los turistas y obvio los que realmente usan este transporte a diario tuvieran un buen servicio,infraestructura,1,1.0,0.7594856023788452
la verdad si estoy de acuerdo en lugar de gastar en pendejadas como ha sido este gobierno hubieran arreglado las estaciones dejen que llueva y todo lo que hicieron va ir a la basura y se quejan de gobiernos anteriores,infraestructura,1,1.0,0.8827155232429504
con la tarjeta de movilidad integrada,infraestructura,4,4.0,0.5298136472702026
pero se ve bonito recuerda que es el gobierno de la maqueta bonita,infraestructura,4,4.0,0.529066801071167
fue remodelacion no reconstrucción eso seria casi imposible porque por arriba ya hay casas,infraestructura,4,4.0,0.5049984455108643
eso es un gasto innecesario termino aran cerrados y con basura,infraestructura,1,2.0,0.687623143196106
y quién los vendió andy,infraestructura,3,3.0,0.5357472896575928
para tapar los baches,infraestructura,2,2.0,0.5125710368156433
las líneas del metro necesitan mantenimientoooooo,infraestructura,2,3.0,0.5366944670677185
y habrá que ver cuántos miles de pesos costaron y a quien de sus compas favorecieron,infraestructura,2,2.0,0.5428816080093384
y al metro lo están remodelando solo por el mundial así deberían de hacer siempre no solo por el mundial,infraestructura,2,3.0,0.44229641556739807
iiii tu casa a de estar impecable muy observadora,infraestructura,3,3.0,0.6837328672409058
primero,infraestructura,3,3.0,0.5079370141029358
y los baches en el centro histórico pa cuándo,infraestructura,2,2.0,0.661723792552948
llego la locomotora 5972,infraestructura,3,3.0,0.457783043384552
me da risa,infraestructura,3,3.0,0.5177319049835205
sanitarios del bienestar,infraestructura,3,3.0,0.3376285433769226
esas goteras tienen mi edad 35 años,infraestructura,2,2.0,0.508119523525238
el peor gobierno de la historia de méxico,infraestructura,1,1.0,0.9813663959503174
no veo las filas y el mar de gente estrenándolos por el fomo,infraestructura,1,3.0,0.655429482460022
triste realidad,infraestructura,1,1.0,0.8659085035324097
y si ponen más seguridad,infraestructura,2,2.0,0.5370810627937317
y cuantos millones costaron,infraestructura,3,3.0,0.4267244040966034
es que necesitaba mantenimiento no remodelación,infraestructura,2,2.0,0.5373667478561401
es interactivo así sabrás cuando esté lloviendo afuera me da risa,infraestructura,3,2.0,0.45204904675483704
jajajajj,infraestructura,3,3.0,0.4831048250198364
si el metro no sirve imagínate los baños hay nooooo por dios,infraestructura,1,2.0,0.6050278544425964
ni un año les doy,infraestructura,2,2.0,0.425862193107605
casitas premium,infraestructura,3,2.0,0.3876773715019226
esos candelabros son para que nos teletransportemos como en harry potter,infraestructura,3,3.0,0.4315096437931061
omg ya eres toda una famosa,infraestructura,5,3.0,0.41457805037498474
