,comentario,rango_humano
0,cuál es el más cercado para rayar el nombre de mi rukaleta,3.0
1,"esos baños deberian estar en el metro, no saben la falta que hacen",2.0
2,????????????????????????????????????no pues bueno jajajajajajaja,3.0
3,los van a abandonar,2.0
4,Nada los tiene contentos,4.0
5,??????,3.0
6,se ve como 1520 .... no se de que te quejas????,4.0
7,no maaaa...,2.0
8,y que volteas hacia arriba? ??,3.0
9,"Jajajaja exacto hay un montón de fugas porque no arreglaron eso mejor, nada más lo pintaron",2.0
10,"que pensaban, la lamparita costó bastantes millones de pesos, no alcanzo para arreglar bien el anden",2.0
11,Eso lo dejamos para otro mundial ????????,3.0
12,"Les digo que hay goteras , en pino Suárez llueve más dentro que fuera del metro",2.0
13,jajaja pinche gobierno tan p......,1.0
14,8 años ??,3.0
15,solo en México,3.0
16,Jajaja y cobraron como si fuera una restauración completa,2.0
17,me gozo como se Disen de todo en los comentarios ????,3.0
18,Y los baches ?????,2.0
19,y donde que yo me echo unas ?? bien apestosotas ajajaja,2.0
20,"Nuevas paredes, mismaa goteras.",2.0
21,?????? que triste ! Nada acertada esa decisión de poner candelabros que no sirven para nada,2.0
22,"es como feria de pueblo, pero en el metro.",2.0
23,en chabacano ya se puede transbordar a consti?,3.0
24,Son las bajadas de las cascadas que pondran dentro del metro ????,2.0
25,[Sticker] si se mete el agua ya va a parecer otra escena de una película ??donde se mete el agua ..,2.0
26,"pero que tal , los baños de los metrobuses ya los cobran , que tonteria",1.0
27,Baños con Ajolotes...,4.0
28,¿Y?,3.0
29,Puro cruising va haber,3.0
30,mejor arreglen las cosas,2.0
31,"No entiendo por qué, querer aparentar algo que no tenemos ni somos, era mil veces mejor darle mantenimiento funcional y que los turistas y obvio los que realmente usan este transporte a diario tuvieran un buen servicio",1.0
32,la verdad si estoy de acuerdo en lugar de gastar en pendejadas como ha sido este gobierno hubieran arreglado las estaciones dejen que llueva y todo lo que hicieron va ir a la basura y se quejan de gobiernos anteriores,1.0
33,con la tarjeta de movilidad integrada,4.0
34,"pero se ve bonito, recuerda que es el gobierno de la maqueta bonita",4.0
35,"fue remodelacion, no reconstrucción, eso seria casi imposible porque por arriba ya hay casas ??",4.0
36,eso es un gasto innecesario.... termino aran cerrados y con basura,2.0
37,y quién los vendió ?????ANDY?????,3.0
38,para Tapar Los Baches,2.0
39,Las líneas del metro necesitan mantenimientoooooo!!!!!,3.0
40,y habrá que ver cuántos miles de pesos costaron y a quien de sus compas favorecieron,2.0
41,"y al metro lo están remodelando solo por el mundial, así deberían de hacer siempre no solo por el mundial",3.0
42,iiii. tu casa a de estar impecable muy observadora,3.0
43,Primero,3.0
44,??????,3.0
45,y los baches en el centro histórico pa cuándo ?????,2.0
46,??????,2.0
47,Llego la locomotora 5972!!!,3.0
