,comentario,etiquetado_humano
0,cul es el ms cercado para rayar el nombre de mi rukaleta,3.0
1,esos baos deberian estar en el metro no saben la falta que hacen,2.0
2,no pues bueno me da risa,3.0
3,los van a abandonar,2.0
4,nada los tiene contentos,4.0
5,,3.0
6,se ve como 1520 no se de que te quejas,4.0
7,no maaaa,2.0
8,y que volteas hacia arriba,3.0
9,me da risa exacto hay un montn de fugas porque no arreglaron eso mejor nada ms lo pintaron,2.0
10,que pensaban la lamparita cost bastantes millones de pesos no alcanzo para arreglar bien el anden,2.0
11,eso lo dejamos para otro mundial,3.0
12,les digo que hay goteras en pino surez llueve ms dentro que fuera del metro,2.0
13,me da risa pinche gobierno tan p,1.0
14,8 aos,3.0
15,solo en mxico,3.0
16,me da risa y cobraron como si fuera una restauracin completa,2.0
17,me gozo como se disen de todo en los comentarios,3.0
18,y los baches,2.0
19,y donde que yo me echo unas bien apestosotas ajajaja,2.0
20,nuevas paredes mismaa goteras,2.0
21,que triste nada acertada esa decisin de poner candelabros que no sirven para nada,2.0
22,es como feria de pueblo pero en el metro,2.0
23,en chabacano ya se puede transbordar a consti,3.0
24,son las bajadas de las cascadas que pondran dentro del metro,2.0
25,si se mete el agua ya va a parecer otra escena de una pelcula donde se mete el agua,2.0
26,pero que tal los baos de los metrobuses ya los cobran que tonteria,1.0
27,baos con ajolotes,4.0
28,y,3.0
29,puro cruising va haber,3.0
30,mejor arreglen las cosas,2.0
31,no entiendo por qu querer aparentar algo que no tenemos ni somos era mil veces mejor darle mantenimiento funcional y que los turistas y obvio los que realmente usan este transporte a diario tuvieran un buen servicio,1.0
32,la verdad si estoy de acuerdo en lugar de gastar en pendejadas como ha sido este gobierno hubieran arreglado las estaciones dejen que llueva y todo lo que hicieron va ir a la basura y se quejan de gobiernos anteriores,1.0
33,con la tarjeta de movilidad integrada,4.0
34,pero se ve bonito recuerda que es el gobierno de la maqueta bonita,4.0
35,fue remodelacion no reconstruccin eso seria casi imposible porque por arriba ya hay casas,4.0
36,eso es un gasto innecesario termino aran cerrados y con basura,2.0
37,y quin los vendi andy,3.0
38,para tapar los baches,2.0
39,las lneas del metro necesitan mantenimientoooooo,3.0
40,y habr que ver cuntos miles de pesos costaron y a quien de sus compas favorecieron,2.0
41,y al metro lo estn remodelando solo por el mundial as deberan de hacer siempre no solo por el mundial,3.0
42,iiii tu casa a de estar impecable muy observadora,3.0
43,primero,3.0
44,,3.0
45,y los baches en el centro histrico pa cundo,2.0
46,,2.0
47,llego la locomotora 5972,3.0
48,me da risa,3.0
49,,3.0
50,sanitarios del bienestar,3.0
51,esas goteras tienen mi edad 35 aos,2.0
52,el peor gobierno de la historia de mxico,1.0
53,no veo las filas y el mar de gente estrenndolos por el fomo,3.0
54,triste realidad,1.0
55,y si ponen ms seguridad,2.0
56,y cuantos millones costaron,3.0
57,es que necesitaba mantenimiento no remodelacin,2.0
58,es interactivo as sabrs cuando est lloviendo afuera me da risa,2.0
59,jajajajj,3.0
60,si el metro no sirve imagnate los baos hay nooooo por dios,2.0
61,ni un ao les doy,2.0
62,,3.0
63,casitas premium,2.0
64,esos candelabros son para que nos teletransportemos como en harry potter,3.0
65,omg ya eres toda una famosa,3.0
66,se est hundiendo el titanic,2.0
67,la neta est bien siempre hago en la calle pipi me da risa,3.0
68,,3.0
69,creen que los candelabros evitarn que no se den cuenta de las deficiencias en el transporte colectivo,2.0
70,mejor pongan botes de basura en los metros luego se quejan que hay basura en todos lados,2.0
71,me da risa es para poder llenar las estaciones de agua me da risa,2.0
72,ni los baos pblicos tendrn activacin econmica me da risa este mundial es solo para unos cuantos,2.0
73,me da risa,3.0
74,pero dicen no lo hubieran cuidado antes y cuando han visto todo grafiteado y lleno de basura el metro los daos que tiene el metro en general son debido al uso de millones de personas y de aos sin mantenimiento alguno,4.0
75,las nuevas cabinas de los,3.0
77,,3.0
78,me da risa dios quiera que llueva en los partidos del mundial para que mundo se d cuenta de lo que vivimos diario entre trfico inundaciones y goteras,2.0
79,el gobierno es un chiste,1.0
80,2 semanas faltan,3.0
81,,3.0
82,lo peor del caso es que lo van a terminar meses despus y no le van a volver a meter mano hasta que suceda una tragedia tipo l 12,2.0
83,quieren tapar la realidad como el sol con un dedo,2.0
84,,3.0
85,est bien porque sale ms caro la multa por orinar en publico,4.0
86,se pasan que es para que el mundo no vea como se cae el pas a pedazos ya todo mundo sabe,2.0
87,la gente nunca cuida nada asi que,2.0
88,yo creo que usarn el poder mexa dejar todo para el da de entrega de la tarea y sacar 6,3.0
89,todo tiene filtraciones y mejor hubieran comprado ms trenes y arreglado el cableado,3.0
90,deberan repavimentar buscar calles que estn en condiciones deplorables eso nada ms es desvi de recursos,2.0
91,y cuando pasen los 15 minutos se queda encerrado,3.0
92,en lugar de gastar en tonteras deberan dar mantenimiento real al metro,2.0
93,exactamente esas goteras son de miedo hace unas semanas pas por la estacin pino surez y justo en el tramo de la correspondencia se vino una parte del techo acompaada de agua y cascajo en allende se vinieron unas vigas y a gente que iba bajando otras subiendo les cayeron encima las vigas lo de menos es lo espantoso que estn dejando las estaciones si no el peligro al que a todos nos est exponiendo el gobierno obvio un ingeniero lo puede explicar mejor pero lo que han hecho es tanto como quitarle el alma a un zapato qu dios nos cuide a todos,1.0
94,uyyy y cuanto le costar a los de la cdmx esos baos sern permanentes o solo por lo del mundial,2.0
95,ya le quitaste el encanto,2.0
96,para que todo cambie se tiene que empezar desde nosotros desde el pueblo pero lastimosamente tanto el gobierno como las personas son un problema claro no todas pero la delincuencia la mala gente todo eso no lo podemos evitar de un da para otro triste lo de este pas tan hermoso pero a la vez tan malo,1.0
97,mxico mgico,3.0
98,obviamente no van acabar hijo,2.0
99,y gasto miles de millones,2.0
100,para que despus lo sirvan para nada,2.0
101,es propio del estilo renacentista,3.0
102,,3.0
103,por 5 pesos que esperas que te den una botella de agua y un aperitivo,4.0
104,algo no cuadra,3.0
105,siiii para un rapidn,3.0
106,mejor que pongan ms cmaras de seguridad,1.0
107,hay que hablar de esto ruvalcaba,3.0
108,nuevo spots para stickers,3.0
109,,3.0
110,cunto a que los olvidan y despus ni van a servir,2.0
111,su gobierno que no invierte en las verdaderas necesidades de del pas que se gasta el recurso en los viajes de su bancada,1.0
112,me parecen bien porque al final tambin nosotros los vamos a poder ocupar pero si est ah el detalle de su mantenimiento,4.0
113,qu horror,1.0
114,cmprate tu carro para no padezcas esos inconvenientes y viajes como mejor te plazca,3.0
115,en otros pases hay baos pblicos de alta tecnologa nosotros los necesitamos no estamos preparados para tenerlos no mxico siempre corriendo antes de caminar,3.0
116,que estupidez me da risa,1.0
117,por todo se quejan comprense su carro mejor yo voy bien cmoda jsjsjsj,3.0
118,los hubieran puesto 1 dia antes la gente no cuida nada a ver como quedan despus,1.0
119,que pena da que su preoridad sea poner sanitarios que insumos y medicamentos en los hospitales,2.0
120,como los baos de la lnea 12 que estn clausurados,3.0
121,y nomas deja que llueva y se veran mas chidas las fuentes,2.0
122,para que cobren 10 como ahora ya en muchos lugares sucios y el papel aparte,1.0
123,y pregunta cunto costara,3.0
124,buena iniciativa,5.0
125,gente tendremos titanic 2 en mxico claro que si prximamente en envivos de tik tok,3.0
126,,3.0
127,que arreglen las calles,2.0
128,de verdad esperaban algo distinto lo hizo la 4 deformacin,1.0
129,las goteras del bienestar,2.0
130,son faroles y de hecho tienes razn lo que debieron remodelar no lo hicieron,2.0
131,la cfe robndole a la nacin de la cfe,2.0
132,y si mejor tapan los baches y invierten en seguridad,1.0
133,es que esa es la fuente bro que no ests viendo,1.0
134,la del zcalo est de la vrga ni abierta estaba,1.0
135,mejor que inviten los boletos para la final de cruz azul vs pumas,3.0
136,los candelabros de la poca de porfirio daz,3.0
137,,3.0
139,,3.0
140,pues ya lo hubiera dejado en 5pesos,3.0
141,se ve ms econmico,3.0
142,que oso pero dudo que la gente que pueda pagar un boleto para el mundial se traslade en metro me da risa,3.0
143,cuando realizarn algo bien,1.0
144,gastan en puras tonteras y lo que deben hacer no lo hacen gobierno de 4ta,1.0
145,apoco si crean que morena iba a hacer obras de calidad ya maduren,1.0
146,dicen los gobernantes que para el prximo mundial sin falta,3.0
147,esto es una locura de corrupcin clara brugada ciudad de mxico,1.0
148,15 das tienen,3.0
149,lo vi en,3.0
150,que caray no dur ni para el mundial,2.0
151,la cosa es que van a entregar y as lo van a dejar para el siguiente,3.0
152,recuerden mis palabras despus del mundial no van a funcionar regularmente,2.0
153,es una vergenza,1.0
154,remodelacion a medias igual que en las calles de la cdmx,2.0
155,tambin colocaron cascadas artificiales instalaciones de primer nivel,2.0
156,en auditorio apenas la van a terminar y qued mejor que bellas artes,3.0
157,como dice la seora solo va a ser por el mundial despus hasta van a cobrar,1.0
158,as es ocapa brukk,3.0
159,alch q bueno que no quede,1.0
160,la primera marcha en la que se les ocurra voltear a ver los candiles lmparas o vitrales y ya era el metro se debe planear para lo que es mover masivamente a gente de manera segura y eficiente esto no abona a esa misin,3.0
161,ya despus los quitan me da risa,3.0
162,nada les embona,4.0
163,haba ofertas en galeras el triunfo,3.0
164,2 semanas,3.0
