,text
0,"Y con un país lleno de inseguridad, como le harán????"
1,Que miedo ir a México
2,Parece buena idea cerrar calles
3,"Tenemos mucha Presidenta!!😎
afortunadamente todavía 5 años más 👏👏"
4,soy de Colombia y fui a México y hay mucha inseguridad la verdad
5,hay que hacer una tendencia para que fifa se lleve el mundial d3 México
6,Y van a trasparentar todo el ingreso o lo repartirán en la nómina de MORENA?
7,NO QUEREMOS MUNDIAL QUEREMOS SEGURIDAD
8,PRIMERO MÉXICO Y DESPUÉS EL DINERO!! Ya no tenemos medicamentos y la delincuencia EL DIA DE HOY NO ME DEJA TRABAJAR!!! No necesito un mundial. NECESITO UN MEXICO SEGURO!! Para recibir ingresos HOY!!!!
9,no puede con los del pais podra con visitas😂
10,"Hola, gente. Me gustaría saber qué tan seguro es México ahora mismo. Soy de España y quiero ir al Mundial en Guadalajara."
11,Y van a ver todo el desmadre que hay en el país
12,Yo a México no voy ni aunque me paguen el viaje todo pagado ❌
13,Demasiado peligroso yo jamás viajo a México aunque me encanta mucho el Paiz pero muy peligroso.
14,Ya lo canceló FIFA se va para Canadá oh EEUU
15,"YA SE DIJO SE SUSPENDE EL MUNDIAL 2026 POR SER UNA PAIS MUY INSEGURO, SERA EN EEUU EL MUNDIAL"
16,Yo creo que ya no vendrá nadie 😳
17,y tiktok inundando de turistas diciendo y aconsejando que no vayan a México por el tema de la inseguridad y por qué todo está carísimo 😂
18,Los que opinan son de país que nunca han tenido un mundial
19,😂😂🤣😂 con la inseguridad quien va querer ir a mexico
20,Mejor lo veo aquí en Canadá!
21,Para los turistas si va ver mucha vigilancia y para los mexicanos que sigue la inseguridad 🤨🫤
22,Ablan de todo menos de Carlos Manzo
23,que lo cancelen 😡 no queremos futbol queremos seguridad en todo Mexico
24,y cuantos regresarán salvos a su casas
25,y a esos también los va a desaparecer?
26,ahorita con lo que está pasando lo dudo 💔
27,yo no iria mucha insegudad
28,"cuantos turistas ya no regresarán a sus países, así como está la inseguridad en México 😭😭"
29,ojalá que todos lleguen bien de regreso a su país xq aquí en México hay magia se desaparece la gente
30,que miedo ir a México y eso que soy de México
31,por eso urge tapar la inseguridad
32,Yo quisiera ir mas pero con la inseguridad se piensa dos veces .
33,como si estan cerrados los aeropuertos.???????
34,Qué manera de dejar de un lado todo lo que estamos pasando
35,Televisa he hechara a perder con sus jugadores el evento ya se sabe!!
36,Cuantos vuelos va a recibir el AIFA 😂😂😂
37,Y Ciudad de México sin Aeropuerto con capacidad para el mundial 🤣
38,que? que quiere manifestaciones??
39,Ni mi ex se avergonzó tanto de mí 😐
40,[Sticker] que salgamos dice 😂😂
41,cómo que suspender clases 👀 en mi niñez el maestro nos puso a ver el partido en el salón de clase 🤣
42,"es como si te dijera ""no salgas de tu cuarto, para que la visita se sienta agusto"" bro, aquí vivimos"
43,"¿Y si mejor reparan las calles, mejoran el transporte público y todos los aspectos de movilidad en la ciudad para que no solo los turistas lo disfruten?
Digo, es una opción, que mejor forma de aparentar ser una ciudad de primera, que siendo una ciudad de primera"
44,[Sticker] ahora con mas razón voy a salir
45,si me pagan esos días con gusto no salgo ni a tomar la Luz del sol
46,Que salgamos todos dicen
47,"Ni me gusta el fútbol, pero por mis ovarios qué esos días, afuera voy a estar"
48,A quien le importa el fut boll
49,"[Sticker] YO NO QUERÍA SALIR PARA EVITAR EL TRÁFICO, ahora tendré que salir"
50,[Sticker] pues igual ni salgo pero del puro coraje esos días voy a salir
51,[Sticker] QUE SALGAMOS DICE!!!
52,ahora de puro coraje saldré el día del mundial
53,"Irala,que salgamos como si hubiera tianguis 🥺"
54,Me iba a quedar en mi casa pero creo que ahora tengo que hacer planes con mis amigos
55,[Sticker] Que salgamos dice
56,que quiere una manifestación
57,Que salgamos todos dice jajajaja
58,[Sticker] que dice que vayamos y los saludemos
59,[Sticker] que salgamos dice
60,[Sticker] Usted tampoco querida
61,"[Sticker] Claro, nadie saldrá ese día…"
62,[Sticker] Ahora resulta 🙄
63,[Sticker] Que una manifestación dice
64,no iba a salir pero ahora como que me están dando unas ganas de ir al ángel de la independencia varios dias seguidos
65,Cómo que me dan ganas de salir en pijama y despeinada todo el día
66,Que me paseé en la troka con el audio de la llorona a las 3 de la mañana??? ok
67,Ni mi papá intentó negarme tanto
68,México quiere a Morena fuera
69,y cuántos van a regresar con vida a sus ciudades?
70,Hay que sabotear el mundial
71,no van Nadien hasta que Salgan los corruptos Ahora mandamos no Mas dinero alos paises corruptos unance people
72,Conmigo no cuenten.!
73,Habló el experto
74,Estás segura ?
75,"Ya se hubiera remodelado el AICM desde hace años, si no fuera por el capricho de construir el AIFA"
76,"Y por eso es que está viendo de dónde sacar dinero, subiendo impuestos, poniendo impuestos nuevos, dejando a la salud sin medicamentos, pero falta que la FIFA quiera por la violencia que hay en México"
77,"mis amigos y familiares que viajan s México desde Estados Unidos... regresan sin ninguna novedad, sanos y sin razguños y con mucha mercancía mexicana."
78,eres grande precidentes 🥰🥰
79,A cómo está la inseguridad no creo que lleguen
80,[Sticker] mi mamá diciéndome que no salga de mi cuarto cuando hay visitas
81,"Mientras me den unos 1500 diarios qué es lo que gano al día, no salgo ni a la esquina"
82,Es broma verdad?
83,"No dijo eso, pidió apoyo a los empresarios para que los trabajadores de oficina pudieran trabajar desde casa y disminuir el tráfico en el mundial"
84,A quien se le ocurrió esa brillante idea? 🙄
85,soluciones del bienestar
86,"Entonces los comerciantes, guías turísticos, restaurantes, hoteles y demás no abran y disfrute su día en casita :)"
87,"los que trabajamos en plazas, autoservicios, transportes públicos, etc, no hay que ir a trabajar para que no haya personal y Haci estén cerrados y que que lo sugirió la clara brugada"
88,Eso me sono a reto...😂
89,"pues suena bien, que las personas que puedan hacer home office lo hagan y así reducen el tráfico, eso no solo beneficiaria a los turistas también a los que trabajan en oficios que no son administrativos"
90,"yo aún me preguntó,que tiene de importante el mundial de fútbol? que da o en qué beneficia esa madre?"
91,todo por eso hay que salir jajaj 🤭😂
92,[Sticker] pero porqué? si la movilidad está al 100
93,[Sticker] Mi humilde opinión
94,[Sticker] vamos Todos !!!!
95,[Sticker] ¿que salgan dice?
96,"que quiere manifestaciones, dice"
97,[Sticker] que salgamos entendí
98,"yo no iba a salir, pero ahora me veo en la necesidad de salir esos días 👀"
99,Esto sonó como un reto de salir más 🤝
100,"no me agrada mucho salir, pero nomas por eso me voy a ir a dar la vuelta 😂"
101,más bien salgamos hay que disfrutar de los turistas
102,[Sticker] ni mi mamá se avergüenza tanto de mi
103,Todos salimos en pijama jajaja
104,[Sticker] ayora pues si es mi casa
105,"Ahhh claro, dejen le aviso a mis profes que no iré porque los turistas quieren visitar"
106,Ay bebé que crees me están dando hartas ganas de salir durante el mundial no más para estorbar e incomodar jajajaja
107,"ahora resulta que, ni en mi propio país me quieren 😂😂😂"
108,[Sticker] que me van a pagar esos días o que?
109,que salgan todos y muestren el hermoso tráfico de la vida diaria 👍🖤✨
110,Yo no quería trabajar esos días pero creo que hasta caminando me voy a ir 😁
111,"no soy alguien de salir mucho, pero ya estuvo que esos días si o si voy a estar en la calle"
112,A mi no me gusta salir pero solo por eso voy a salir justo cuando sea el mundial
113,Odio salir... Pero como soy bien necia esos días me la voy a pasar de vaga 😈
114,que pongamos música a todo volumen toda la noche entendido
115,que dice que salgamos a las calles a disfrutar en familia como buenos mexicanos que somos jajajaj
116,Y QUE TAL SI MEJOR RENUNCIA
117,GRACIAS PRESIDENTA TIENES TODO NUESTRO APOYO
118,Y usted cree que la gente va a ir después de todo lo que está pasando en México 🇲🇽
119,"A ver como le va, mucha inseguridad."
120,"La policía se frota las manos , de imaginarse 😁😁😁😁😁"
121,creo no se hará ya
122,"A como están las cosas la vrdd deberían cambiar mejor todos los partidos a eu aunque nos duela a nosotros los mexas, la vrdd hay una inseguridad muy grande y los turistas pueden apeligrar entre ellos niños :("
123,nooooo creoooo
124,inversión para quien mejor invierte en la ceguridad y gente te gastas menos
125,"todo aquel que quiera venir nuestro bello México todos sean bienvenidos, dejen de ver noticias amarillistas y tik tok, en todos los países hay inseguridad."
126,Ya no doña
127,No gracias esta dura la delinquencia
128,Jaja
129,No es un país ceguro para un evento de esa magnitud
130,con gobierno narcor país
131,y la inseguridad
132,Mejor invertir en las carreteras de los pueblos
133,hojala y estén preparados para dar buenservicio
134,Presidenta 🥰
135,Todo bien y no dijo nada de la inseguridad que tendrán los turistas
136,si no hay maíz no hay mundial 😎
137,🔥🔥🔥 WWOW!!! VIVA MEXICOOOOO 🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽
138,terror ir a México 😳😳😳😳😳😳
139,excelente presidenta gracias 🫂
140,iban a venir
141,km mexicano no me gusta q compartamos mundial con EU Y CANADÁ me parece injusto siempre a sido d un solo país los mundiales q poca m...
142,Y el de Felipe Angeles.
143,"Por q la gente le tienen miedo a México?
las extrangeras teresibimos con a plauso con mariachi y muchos mas"
144,no creoooooo😂😂😂
145,que muero ir a México
146,No queremos mundial queremos seguridad y justicia.
147,México no es seguro
148,si y van a mirar el desmadre que tiene México y aver si no se los levantan
149,A pero no sé habla de la demanda 🥺
150,No creoooooo
151,"el mismo gobierno se avergüenza de sus ciudadanos pero no del dinero que sale de sus carteras, mira nada más, cuando el turista vale más que el local"
152,"creo que no entendieron jajaja aparte es el punto de vista,
estuve viendo más no investigando , se dice que esto se hizo por el impacto ambiental además de que ya está tan bien jodida la CDMX lo quieren aprovechar para visibilizar más lugares del país por lo que sería más un ""dispersar el turísmo por todo el país "" e impulsar la economía local si no me equivoco. si me equivoqué discúlpenme y los invito a investigar y corregirme"
153,"ok, paguen los días de trabajo que no podemos salir y me quedo en mi casa la vd"
154,pues no tenía ganas hasta que ví esto
155,Eso dijo Paola Suárez ?
156,"Cancelar clases cuando lo mejor es perder clase ""viendo"" el partido con amigos????!!!
(al menos yo no lo veía, yo me ponía a platicar con mis amigas xd)"
157,Que salgamos dice
158,[Sticker] Osea vamos a salir
159,"ni iba a salir porque que hueva y que oso el fútbol, pero adivina qué, mi ciela"
160,cómo que me dan ganas de viajar a CDMX ese día
161,"Si nos piden que salgamos, pues salimos"
162,"[Sticker] chale, apenas q aprendí a comer con cubiertos y decir ""buenas tardes"""
163,creo que no es la persona indicada para decir eso 😅
164,"¿Y si mejoran la infraestructura de la ciudad? ¿Y si mejoran los caminos? ¿Y si mejoran el transporte público? ¿Y si ponen primero a peatones y ciclistas, en vez de los vehículos? Ahora la culpa es de nosotros 🫠"
165,seguramente voy a vender jamón por home ofice
166,todos a salir de casa en junio...
167,manifestaciones manifestaciones
168,Pero si mis papás me obligaban a salir de mi cuarto para saludar a la visita 😳
