"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Y con un país lleno de inseguridad, como le harán????","2701","41","2025-11-10T18:18:55.000Z","consuelogarza99","https://www.tiktok.com/@politicomx/video/7571117511932972296","6812765624838882309","7571162876518630162","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7168570272291127301~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6bb49325&x-expires=1780200000&x-signature=0yDo0vm9WHI8CUnuaD5OGPJu0oI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Que miedo ir a México","700","34","2025-11-10T21:54:22.000Z","escobar.franklin","https://www.tiktok.com/@politicomx/video/7571117511932972296","6877723077977146374","7571218385112957708","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/901df4b0581e5cdde67acbe270bc9233~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d9c3ca9d&x-expires=1780200000&x-signature=wIEaaAXbfvPwsfhiolqk0ipVxxY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Parece buena idea cerrar calles","643","4","2025-11-10T15:28:38.000Z","robreyes15","https://www.tiktok.com/@politicomx/video/7571117511932972296","6825479373278626821","7571119003956265748","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7326226723060744197~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1f713090&x-expires=1780200000&x-signature=n38i5%2B1%2BSUj1JsgLzMjAx7n3IVQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Tenemos mucha Presidenta!!😎
afortunadamente todavía 5 años más 👏👏","191","23","2025-11-10T16:07:52.000Z","angelesflores6670","https://www.tiktok.com/@politicomx/video/7571117511932972296","7067573973857469446","7571129101498368786","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/fc71ffd24267bf1b7c6bc10383a74baf~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=85084076&x-expires=1780200000&x-signature=6zqlMSyKifUw3XnwB4sMNmQzYOM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"soy de Colombia y fui a México y hay mucha inseguridad la verdad","220","42","2025-11-11T00:56:19.000Z","angieesala5","https://www.tiktok.com/@politicomx/video/7571117511932972296","6943290752681542661","7571263978162111250","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/25224ef5b1ee45066bdf3b0a557fd571~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=584bccd9&x-expires=1780200000&x-signature=0Uk8%2B2xHbun1FYdKQ0lzVtw82JM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"hay que hacer una tendencia para que fifa se lleve el mundial d3 México","393","7","2025-11-10T17:57:25.000Z","guineo24k","https://www.tiktok.com/@politicomx/video/7571117511932972296","231373918832439296","7571157327766110984","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/22ef110f3a687f4618a6db38d586c143~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a3170a3f&x-expires=1780200000&x-signature=v3n0cYkVUIBg7d1ANeQABmOZyj0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Y van a trasparentar todo el ingreso o lo repartirán en la nómina de MORENA?","217","3","2025-11-10T15:31:53.000Z","aramis_san","https://www.tiktok.com/@politicomx/video/7571117511932972296","6879626645935703045","7571119839957222162","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e72d14549a3ff5276360593a4cd9b62d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8045f87f&x-expires=1780200000&x-signature=brP7NhJmWwSin1q3zQsdLJKVfiY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"NO QUEREMOS MUNDIAL QUEREMOS SEGURIDAD","7","1","2026-05-13T02:06:11.000Z","trigoarizmendi1","https://www.tiktok.com/@politicomx/video/7571117511932972296","7529359602846368786","7639191864842978066","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2fbae10aa311988801263018c4928955~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4c40b3d0&x-expires=1780200000&x-signature=bmmjXoWXdP3vViS7Ye8W5JKJ9jQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"PRIMERO MÉXICO Y DESPUÉS EL DINERO!! Ya no tenemos medicamentos y la delincuencia EL DIA DE HOY NO ME DEJA TRABAJAR!!! No necesito un mundial. NECESITO UN MEXICO SEGURO!! Para recibir ingresos HOY!!!!","17","0","2025-11-10T20:10:12.000Z","martina.martinez3102","https://www.tiktok.com/@politicomx/video/7571117511932972296","7548196023865721864","7571191522322924309","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/23ef54b53db5f3b05c37c8814bdb3b02~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=430176a2&x-expires=1780200000&x-signature=7PnrHw2n5aRbvSGsH%2FC1q9qg1D4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"no puede con los del pais podra con visitas😂","66","1","2025-11-10T19:33:00.000Z","liiiiii532","https://www.tiktok.com/@politicomx/video/7571117511932972296","7310442957491635205","7571181901022806802","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/bbf3ecd29a188b5d45e396b3fd774879~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=db4a1023&x-expires=1780200000&x-signature=663C%2FMS2gJQS%2BBX3dWGKctokbYY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
