comentario,rango_humano,,,,,,
"LA MAYORÍA DE LOS QUE SABEN QUE FUE LO QUE PASÓ, SON PARIENTES, AMIGOS Y FAMILIARES.",3,,,,,,
Así deberían de poner seguridad en los hospitales para que no abusen de sus médicos,2,,,,,,
Interactuando 🙏🙏🙏,3,,,,,,
"digaselo a Peña Nieto,Ascarraga y Salinas Pliego ellos son los que trajeron el mundial y aceptaron las condiciones de la FIFA",3,,,,,,
Se quejan y somos uno de los países que más consume este deporte,4,,,,,,
Me están diciendo que la única razón por la que están haciendo algo en el país es por el mundial? que si no fuera por eso seguiriam defendiendo al CO? que raro no? no es el pais que morena nos plantea🫩🙄,3,,,,,,
que coraje e impotencia debería ser más importante el apoyo a los padres que buscan a sus hijos que el mundial,2,,,,,,
"la neta.... México da miedo, es como ir a palestina y esperar que salgas bien",1,,,,,,
"A mí me ""vale"" el mundial. Hay cosas más importantes",2,,,,,,
Que tristeza que para proteger a extranjeros se organizaron tan rápido y para nosotros lo mexicanos llevan tantos sexenios y nomás no!,2,,,,,,
y los que faltan en el mundial.,1,,,,,,
"Casi 100,000 elementos federales y este gobierno hace nada para acabar con el crimen organizado.
Todo el poder del estado y para que. Solo les interesa seguir saqueando al país.",1,,,,,,
pues el plan Kukulkán ya se debería quedar 365 días no? diiiigo,3,,,,,,
aah mira y al pueblo que se lo lleve la fregada,3,,,,,,
deberíamos empezar a comentar con stickers de las fichas de lo desaparecidos en las páginas del gobierno,2,,,,,,
Y no le da vergüenza a la presidenta para eso si hay seguridad,3,,,,,,
"exacto hay que tener prioridades !!!!
hay que comenzar. actuar con conciencia!!!!!",2,,,,,,
Los carteles andas más armados que la policía de México,3,,,,,,
Es muy cierto.,3,,,,,,
Y no nada más por el mundial ala precidente le vale los desaparecidos prefiere aser conciertos que ayudar ala gente,1,,,,,,
"[Sticker] interactuen, que se difunda lo que si importa",3,,,,,,
Irán atacará en pleno mundial. Acuérdense de este comentario 🥶👀,2,,,,,,
Jajajjaja se parecen a los anillos de seguridad que hacen los narcos!!!! Raro no !!!! 😁,2,,,,,,
[Sticker] Aquí apoyamos a los papás y mamás buscadores,2,,,,,,
[Sticker] Hay prioridades wue. En el mundial viene el bicho,5,,,,,,
Y por que un mes antes y un mes después del mundial ? Por que no hacen ese plan para siempre ? 🤔,3,,,,,,
Nunca Nos ha brindado protección a los mexicanos porque a turistas si 😏,2,,,,,,
"que dolor, que impotencia. es una burla el despilfarro.",1,,,,,,
"No queremos mundial!!! Queremos seguridad, acceso a la educación digna, salud digna y a la justicia",1,,,,,,
"Y, ¿en Culiacán también tendremos ese plan? 🫩",3,,,,,,
Plan no ir a México ❤️,1,,,,,,
"Si a usa no le quitan el mundial, tampoco a mexico",3,,,,,,
Me duele tener que vivir en esta realidad,1,,,,,,
Que impotencia da la situación de Mexico😢,1,,,,,,
violencia en México y EUA en guerra 😅,1,,,,,,
Que tiene que ver el mundial von el Gobierno,3,,,,,,
duele pero no por eso va a dejar a mas de 30 selecciones sin mundial ya que eso son problemas internos de mexico no es culpa de la fifa ni mucho menos de las otras selecciones,4,,,,,,
pero que nombrecito 😁,3,,,,,,
Y si se queda el plan cuculcan para siempre (?),3,,,,,,
ojo dijo que protege a extranjeros los que vivimos en el país pues no la pelamos que nos cuidemos nosotros solos dicen,3,,,,,,
"Osea si se pueden poner las pilas, pero no con nosotros",2,,,,,,
Seguridad para extranjeros y no para los mexicanos 😂,2,,,,,,
saludos desde mechico👍👍,3,,,,,,
JAJAJA LOS ESTADIOS SON PRIVADOS 🤣 EL ÚNICO BENEFICIO DE NOSOTROS SON LAS VENTAS ♥️,4,,,,,,
Suena como el kukuxklan,3,,,,,,
que todos sus hijos vuelvan a casa🙏🙏🙏,3,,,,,,
Yo siendo mexicano prefiero que no sea el mundial aquí en México,2,,,,,,
https://vt.tiktok.com/ZSxCK1bp9/,3,,,,,,
Cierren las avenidas allá y en CDM.,2,,,,,,
Morena preocupándose por otra gente menos por los mexicanos,1,,,,,,
"por algo.dice el.dicho: al.pueblo pan y circo, para mantenernos distraidosssss ojalá despierten la gente embobada del.futboll y demás...",2,,,,,,
Ya no podemos seguir con esto! Necesitamos justicia,1,,,,,,
"Y mientras protegen a los turistas, en todos los demás estados vamos a estar desprotegidos.",2,,,,,,
a quien le importa el pinche mundial al final solo se benefician los ricos,1,,,,,,
"No estamos en contra del mundial, estamos en contra de que se le dé prioridad a algo que NO lo es. 😩",3,,,,,,
"osea los mexicanos no tenemos ningún valor para este gobierno?
solo PUEDEN y QUIEREN proteger a extranjeros??",1,,,,,,
El mundial debería ser solo en CANADÁ pero la FIFA es corrupta,2,,,,,,
y por qué protegen tanto a los extranjeros y nunca a nosotros los del pueblo que somos los que pagamos impuestos,2,,,,,,
En serio que Cancelen el mundial aquí,1,,,,,,
"[Sticker] En Argentina también está pasando,muchas gente con hambre sin trabajo, jubilados con jubilaciones mínimas ,que ni si quiera les alcanza para comprarse la medicación. Universidades, des financiada, Ecosistema destruidos a propósito. Medios de comunicación corruptos. Fiscales y gobernadores que tapan la corrupción y muerte de gente inocente. Pero la gente se preocupa por un mundial y que Messi juegue en la selección, ignorando todo los demás .",2,,,,,,
"q va mexico, es una sentencia ir.",1,,,,,,
"Y solo durante el mundial, terminando todo regresará a como estaba o peor",2,,,,,,
[Sticker] ,3,,,,,,
"wey México con aviones F5, ya esos son de museo",3,,,,,,
Que triste que solo lo hacen por este evento y no lo hagan por sus habitantes todos los dias 😔😢😔,2,,,,,,
