comentario,rango_humano,aux,,,,,
"LA MAYORÍA DE LOS QUE SABEN QUE FUE LO QUE PASÓ, SON PARIENTES, AMIGOS Y FAMILIARES.",,0.306712081,,,,,
Así deberían de poner seguridad en los hospitales para que no abusen de sus médicos,,0.102315392,,,,,
Interactuando 🙏🙏🙏,,0.99594265,,,,,
"digaselo a Peña Nieto,Ascarraga y Salinas Pliego ellos son los que trajeron el mundial y aceptaron las condiciones de la FIFA",,0.110471876,,,,,
Se quejan y somos uno de los países que más consume este deporte,,0.64381722,,,,,
Me están diciendo que la única razón por la que están haciendo algo en el país es por el mundial? que si no fuera por eso seguiriam defendiendo al CO? que raro no? no es el pais que morena nos plantea🫩🙄,,0.925715231,,,,,
que coraje e impotencia debería ser más importante el apoyo a los padres que buscan a sus hijos que el mundial,,0.652015154,,,,,
"la neta.... México da miedo, es como ir a palestina y esperar que salgas bien",,0.084006357,,,,,
"A mí me ""vale"" el mundial. Hay cosas más importantes",,9.00568E-05,,,,,
Que tristeza que para proteger a extranjeros se organizaron tan rápido y para nosotros lo mexicanos llevan tantos sexenios y nomás no!,,0.171554362,,,,,
y los que faltan en el mundial.,,0.302795816,,,,,
"Casi 100,000 elementos federales y este gobierno hace nada para acabar con el crimen organizado.
Todo el poder del estado y para que. Solo les interesa seguir saqueando al país.",,0.115121242,,,,,
pues el plan Kukulkán ya se debería quedar 365 días no? diiiigo,,0.650960824,,,,,
aah mira y al pueblo que se lo lleve la fregada,,0.929366381,,,,,
deberíamos empezar a comentar con stickers de las fichas de lo desaparecidos en las páginas del gobierno,,0.180856072,,,,,
Y no le da vergüenza a la presidenta para eso si hay seguridad,,0.685799996,,,,,
"exacto hay que tener prioridades !!!!
hay que comenzar. actuar con conciencia!!!!!",,0.390992437,,,,,
Los carteles andas más armados que la policía de México,,0.183256253,,,,,
Es muy cierto.,,0.80316172,,,,,
Y no nada más por el mundial ala precidente le vale los desaparecidos prefiere aser conciertos que ayudar ala gente,,0.228150601,,,,,
"[Sticker] interactuen, que se difunda lo que si importa",,0.029873292,,,,,
Irán atacará en pleno mundial. Acuérdense de este comentario 🥶👀,,0.302100171,,,,,
Jajajjaja se parecen a los anillos de seguridad que hacen los narcos!!!! Raro no !!!! 😁,,0.084569518,,,,,
[Sticker] Aquí apoyamos a los papás y mamás buscadores,,0.716423313,,,,,
[Sticker] Hay prioridades wue. En el mundial viene el bicho,,0.294644793,,,,,
Y por que un mes antes y un mes después del mundial ? Por que no hacen ese plan para siempre ? 🤔,,0.415238727,,,,,
Nunca Nos ha brindado protección a los mexicanos porque a turistas si 😏,,0.032083641,,,,,
"que dolor, que impotencia. es una burla el despilfarro.",,0.472279781,,,,,
"No queremos mundial!!! Queremos seguridad, acceso a la educación digna, salud digna y a la justicia",,0.664493121,,,,,
"Y, ¿en Culiacán también tendremos ese plan? 🫩",,0.191621604,,,,,
Plan no ir a México ❤️,,0.77885621,,,,,
"Si a usa no le quitan el mundial, tampoco a mexico",,0.921923823,,,,,
Me duele tener que vivir en esta realidad,,0.304331679,,,,,
Que impotencia da la situación de Mexico😢,,0.798013944,,,,,
violencia en México y EUA en guerra 😅,,0.498537574,,,,,
Que tiene que ver el mundial von el Gobierno,,0.657015468,,,,,
duele pero no por eso va a dejar a mas de 30 selecciones sin mundial ya que eso son problemas internos de mexico no es culpa de la fifa ni mucho menos de las otras selecciones,,0.758796188,,,,,
pero que nombrecito 😁,,0.548457426,,,,,
Y si se queda el plan cuculcan para siempre (?),,0.252061995,,,,,
ojo dijo que protege a extranjeros los que vivimos en el país pues no la pelamos que nos cuidemos nosotros solos dicen,,0.541941976,,,,,
"Osea si se pueden poner las pilas, pero no con nosotros",,0.107581078,,,,,
Seguridad para extranjeros y no para los mexicanos 😂,,0.983072409,,,,,
saludos desde mechico👍👍,,0.997562466,,,,,
JAJAJA LOS ESTADIOS SON PRIVADOS 🤣 EL ÚNICO BENEFICIO DE NOSOTROS SON LAS VENTAS ♥️,,0.259462714,,,,,
Suena como el kukuxklan,,0.608499705,,,,,
que todos sus hijos vuelvan a casa🙏🙏🙏,,0.789292416,,,,,
Yo siendo mexicano prefiero que no sea el mundial aquí en México,,0.126297696,,,,,
https://vt.tiktok.com/ZSxCK1bp9/,,0.454099945,,,,,
Cierren las avenidas allá y en CDM.,,0.177526721,,,,,
Morena preocupándose por otra gente menos por los mexicanos,,0.244328039,,,,,
"por algo.dice el.dicho: al.pueblo pan y circo, para mantenernos distraidosssss ojalá despierten la gente embobada del.futboll y demás...",,0.421362286,,,,,
Ya no podemos seguir con esto! Necesitamos justicia,,0.060860178,,,,,
"Y mientras protegen a los turistas, en todos los demás estados vamos a estar desprotegidos.",,0.182579464,,,,,
a quien le importa el pinche mundial al final solo se benefician los ricos,,0.513559916,,,,,
"No estamos en contra del mundial, estamos en contra de que se le dé prioridad a algo que NO lo es. 😩",,0.738564882,,,,,
"osea los mexicanos no tenemos ningún valor para este gobierno?
solo PUEDEN y QUIEREN proteger a extranjeros??",,0.51294353,,,,,
El mundial debería ser solo en CANADÁ pero la FIFA es corrupta,,0.270595413,,,,,
y por qué protegen tanto a los extranjeros y nunca a nosotros los del pueblo que somos los que pagamos impuestos,,0.35028546,,,,,
En serio que Cancelen el mundial aquí,,0.245222971,,,,,
"[Sticker] En Argentina también está pasando,muchas gente con hambre sin trabajo, jubilados con jubilaciones mínimas ,que ni si quiera les alcanza para comprarse la medicación. Universidades, des financiada, Ecosistema destruidos a propósito. Medios de comunicación corruptos. Fiscales y gobernadores que tapan la corrupción y muerte de gente inocente. Pero la gente se preocupa por un mundial y que Messi juegue en la selección, ignorando todo los demás .",,0.713529103,,,,,
"q va mexico, es una sentencia ir.",,0.088935348,,,,,
"Y solo durante el mundial, terminando todo regresará a como estaba o peor",,0.622640436,,,,,
[Sticker] ,,0.679298543,,,,,
"wey México con aviones F5, ya esos son de museo",,0.871389876,,,,,
Que triste que solo lo hacen por este evento y no lo hagan por sus habitantes todos los dias 😔😢😔,,0.963377707,,,,,
Que todo el mundo vea lo que vivimos en México,,0.702287829,,,,,
Y si mejor sacan un plan para proteger a México siempre y no solo durante el mundial?,,0.487128401,,,,,
si asen eso para un evento deportivo.... por que no aserlo siempre para seguridad de todos nosotros los mexicanos,,0.992307215,,,,,
pongan subtitulos en inglés para que se haga eco a nivel internacional por favor,,0.284409346,,,,,
Es una vergüenza nuestro gobierno 🥺,,0.133627074,,,,,
"¿Por qué no hacen eso siempre?
Yo desde los 15 años salgo de mi casa con más miedo de la policía que de los delincuentes.",,0.529333528,,,,,
Que fuerte realidad 😞,,0.590125487,,,,,
Ocultan la verdad.,,0.297239889,,,,,
oraleee así deberían de proteger a su pueblo y no solo a los extranjeros 😕,,0.560455371,,,,,
"lo más triste del asunto es que por más que luchen para que no haya mundial,el gobierno no les va hacer caso,van a seguir con el mundial y seguir invirtiendo en el mundial,es triste y da rabia",,0.645243183,,,,,
El mundial dará mucho empleo y dinero del turismo 😩 así que yo sí estoy de acuerdo con el mundial,,0.547038714,,,,,
Por qué si tienen tanto no combaten a los narcos,,0.707115796,,,,,
prefiero seguridad que un stupido mundial de futbol,,0.550260789,,,,,
[Sticker] Dios mío,,0.302360811,,,,,
Para los 4 partidos del mundial que va haber como que invirtieron de más no??,,0.840769468,,,,,
"Ya no pongan sus fotos ahorita, pongalas antes del mundial 🙈",,0.284268223,,,,,
justicia mexicanos,,0.54691538,,,,,
Prefiero no tener mundial!!,,0.076075751,,,,,
"La mediocridad del Gobierno y la borregada no da pa más en fin .
#LA JUSTICIA NO EXISTE NI EXISTIRÁ MIENTRAS NO SE #REFORMEN LAS LEYES A FAVOR DE LAS VÍCTIMAS.",,0.195611145,,,,,
Cómo apoyo para que se haga eso en la cdmx también??,,0.485007741,,,,,
Es más seguro ir a jugar a Israel o iran que a México 🤣🤣🤣,,0.765225384,,,,,
Cuándo va a cambiar la historia?,,0.170449652,,,,,
"prefiero un México sin desaparecidos, que un mundial, espero que puedan encontrarlos y los familiares tengan paz",,0.10034756,,,,,
[Sticker] pero ella jura que todo está bien,,0.394753617,,,,,
"Que raro que no lo terminaron con la palabra ""Bienestar"" 😂",,0.961979419,,,,,
Ojalá todos encuentren a sus seres queridos! fuerza y suerte 🫶🏼,,0.195199418,,,,,
Ósea que si tienen el armamento para combatir el narco solo no les importa lo mexicanos,,0.187524152,,,,,
se debe informar que solo sería para el mundial y como objetivo los extranjeros y que después del mundial será como cuando desinstalas una app de celular 📱😅,,0.46322957,,,,,
Siguen adelante en El Poderoso Nombre de Jesús . Sigan y pídanle a Dios que El Sea su. Guardador,,0.338919955,,,,,
el chiste se cuenta Solo este gobierno parece una burla,,0.177832017,,,,,
"Muyyy triste de verdad, me dueles México 🥺",,0.216064879,,,,,
😡😡😡 que coraje meda todo esto. sólo hay seguridad. porque va a ver mundial,,0.782707268,,,,,
Que lamentable! Apoyos a las familias afectadas! 🙏🙏,,0.225124995,,,,,
"No queremos Mundial, queremos un México seguro… 👊🏻",,0.859983401,,,,,
Qué cosas y por el pueblo mexicano no mueven un dedo😡😡😡,,0.490499294,,,,,
A lo mejor alguien entre mucha gente durante el mundial puede ser que ha visto o conocer a un desaparecido esto ayudará mucho,,0.626388659,,,,,
Apoyo total a este movimiento 👏,,0.133821667,,,,,
Welcome to Jalisco,,0.097116654,,,,,
Que feo que se enfoquen en esto en vez de proteger al pueblo,,0.71442398,,,,,
"osea que si se puede, nomás no quieren",,0.792955988,,,,,
"Si buscan la ruleta rusa con su seguridad, México es la opción",,0.611829031,,,,,
"❌seguridad en el país
✅seguridad por un partido de fútbol",,0.549157718,,,,,
seguro harán un trato con los narcos,,0.262526597,,,,,
"Ku-Kul-Kan, suena conocido de algo.... 🤔🤔🤔",,0.652654907,,,,,
"encontrar a los desaparecidos, y subir los sueldos (no puede ser que en nuestro país casi un 70% trabajen en la informalidad o sin prestaciones de ley) y un 49% de los egresados de universidades se encuentran en desempleo",,0.547742874,,,,,
Y cuando termine el mundial? Regreso a la realidad 💀,,0.338178886,,,,,
"A veces no dimensionamos las situaciones hasta que nos pasan, no se que sería de mi si alguien de mi familia desaparece y poca madre de los gobernantes por hacerse pendejos con estos temas",,0.953094562,,,,,
yo también tengo un hijo desaparecido y nadien me a escuchado no ay seguimiento de nada,,0.080183078,,,,,
ojalá se cancele,,0.284525377,,,,,
a veces pienso que lo hacen con sarcasmo para tener muchas vistas😏,,0.152827375,,,,,
nos hace falta unirnos como sociedad y cuidarnos entre todos.,,0.656144109,,,,,
"osea que habrá protección para que se pueda jugar al fútbol, pero no hay protección para tener una buena calidad de vida.",,0.336950634,,,,,
proteger a los Mexicanos:❌️proteger a los turistas:✅️,,0.127497995,,,,,
oye espérate si no estamos en wakanda,,0.64974292,,,,,
"Todo el mundial va ser en México y Canadá, porque usa 🇺🇸 no participará por lo que ya saben 😅😅😅",,0.441360108,,,,,
Osea que siempre han podido defender a la población? Les valía madres antes o que?,,0.03770574,,,,,
Que tristeza😔,,0.562033747,,,,,
"Mientras el gobierno invierte millones en eventos como el Mundial de fútbol, miles de familias siguen buscando a sus desaparecidos sin apoyo suficiente, sin respuestas y sin justicia.
No puede haber celebración completa en un país donde tantos padres siguen buscando a sus hijos. La prioridad debería ser la seguridad, la verdad y la dignidad de las víctimas.",,0.313192935,,,,,
en día de mundial hay que hacer una marcha por los desaparecidos 😔,,0.976351022,,,,,
No se que da más miedo que México puede 💀 o que México no quiere 💀,,0.137821047,,,,,
"En el parque de la ciudad donde vivo nunca habia visto pegados panfletos de desaparecidos y cuando recién pase y los vi fue un shock, se sintió muy triste🥺",,0.749164929,,,,,
"Es decir, que sí pueden combatir la delincuencia, pero no lo hacen todos los días 😅😂😂",,0.424169907,,,,,
Ósea si pueden y tienen poder solo no quieren,,0.422299889,,,,,
"No al mundial, matan mujeres todos los días y no las protegen",,0.619491946,,,,,
[Sticker] No ven TV Azteca,,0.621663427,,,,,
no al mundial,,0.602248727,,,,,
Y por qué 15 días antes y 15 días después??? Por qué no dejarlo así siempre,,0.568641013,,,,,
